locus_tag	name	chrom	start0	end0	strand	syn3A_locus_tag	syn3A_name	syn3A_start0	syn3A_end0	syn1_upstream_locus	syn1_upstream_dist	syn1_downstream_locus	syn1_downstream_dist	syn3A_upstream_locus	syn3A_upstream_dist	syn3A_downstream_locus	syn3A_downstream_dist	syn1_cw_neighbor	syn1_cw_dist	syn1_cw_strand	syn1_ccw_neighbor	syn1_ccw_dist	syn1_ccw_strand	syn3A_cw_neighbor	syn3A_cw_dist	syn3A_cw_strand	syn3A_ccw_neighbor	syn3A_ccw_dist	syn3A_ccw_strand	unaltered_ccw_bps	unaltered_cw_bps	cw_context_changed	ccw_context_changed	gene_impact_class
MMSYN1_0139		CP002027.1	179824	180775	+	JCVISYN3A_0139	ytqI%3B orn	90991.0	91942.0	MMSYN1_0138	9	MMSYN1_0140	1	JCVISYN3A_0138	9	JCVISYN3A_0140	1	MMSYN1_0140	1	+	MMSYN1_0138	9	+	JCVISYN3A_0140	1	+	JCVISYN3A_0138	9	+	2419	12695	False	False	unaffected
MMSYN1_0140	tdk	CP002027.1	180776	181406	+	JCVISYN3A_0140	tdk	91943.0	92573.0	MMSYN1_0139	1	MMSYN1_0141	2	JCVISYN3A_0139	1	JCVISYN3A_0141	2	MMSYN1_0141	2	+	MMSYN1_0139	1	+	JCVISYN3A_0141	2	+	JCVISYN3A_0139	1	+	3371	12064	False	False	unaffected
MMSYN1_0141	prfA	CP002027.1	181408	182503	+	JCVISYN3A_0141	prfA	92575.0	93670.0	MMSYN1_0140	2	MMSYN1_0142	-8	JCVISYN3A_0140	2	JCVISYN3A_0142	-8	MMSYN1_0142	-8	+	MMSYN1_0140	2	+	JCVISYN3A_0142	-8	+	JCVISYN3A_0140	2	+	4003	10967	False	False	unaffected
MMSYN1_0142	prmC	CP002027.1	182495	183344	+	JCVISYN3A_0142	prmC	93662.0	94511.0	MMSYN1_0141	-8	MMSYN1_0143	8	JCVISYN3A_0141	-8	JCVISYN3A_0143	8	MMSYN1_0143	8	+	MMSYN1_0141	-8	+	JCVISYN3A_0143	8	+	JCVISYN3A_0141	-8	+	5090	10126	False	False	unaffected
MMSYN1_0143		CP002027.1	183352	184825	+	JCVISYN3A_0143	JCVISYN3A_0143	94519.0	95992.0	MMSYN1_0142	8	MMSYN1_0144	8	JCVISYN3A_0142	8	JCVISYN3A_0144	8	MMSYN1_0144	8	+	MMSYN1_0142	8	+	JCVISYN3A_0144	8	+	JCVISYN3A_0142	8	+	5947	8645	False	False	unaffected
MMSYN1_0144		CP002027.1	184833	185334	+	JCVISYN3A_0144	tsaC	96000.0	96501.0	MMSYN1_0143	8	MMSYN1_0145	114	JCVISYN3A_0143	8	JCVISYN3A_0145	114	MMSYN1_0145	114	+	MMSYN1_0143	8	+	JCVISYN3A_0145	114	+	JCVISYN3A_0143	8	+	7428	8136	False	False	unaffected
MMSYN1_0145		CP002027.1	185448	186363	+	JCVISYN3A_0145	JCVISYN3A_0145	96615.0	97530.0	MMSYN1_0144	114	MMSYN1_0146	228	JCVISYN3A_0144	114	JCVISYN3A_0146	228	MMSYN1_0146	228	+	MMSYN1_0144	114	+	JCVISYN3A_0146	228	+	JCVISYN3A_0144	114	+	8043	7107	False	False	unaffected
MMSYN1_0146		CP002027.1	186591	187299	+	JCVISYN3A_0146	JCVISYN3A_0146	97758.0	98466.0	MMSYN1_0145	228	MMSYN1_0147	-1	JCVISYN3A_0145	228	JCVISYN3A_0147	-1	MMSYN1_0147	-1	+	MMSYN1_0145	228	+	JCVISYN3A_0147	-1	+	JCVISYN3A_0145	228	+	9186	6171	False	False	unaffected
MMSYN1_0147		CP002027.1	187298	188828	+	JCVISYN3A_0147	clsA	98465.0	99995.0	MMSYN1_0146	-1	MMSYN1_0148	123	JCVISYN3A_0146	-1	JCVISYN3A_0148	123	MMSYN1_0148	123	+	MMSYN1_0146	-1	+	JCVISYN3A_0148	123	+	JCVISYN3A_0146	-1	+	9893	4642	False	False	unaffected
MMSYN1_0148	rpsL	CP002027.1	188951	189371	+	JCVISYN3A_0148	rpsL	100118.0	100538.0	MMSYN1_0147	123	MMSYN1_0149	86	JCVISYN3A_0147	123	JCVISYN3A_0149	86	MMSYN1_0149	86	+	MMSYN1_0147	123	+	JCVISYN3A_0149	86	+	JCVISYN3A_0147	123	+	11546	4099	False	False	unaffected
MMSYN1_0149	rpsG	CP002027.1	189457	189925	+	JCVISYN3A_0149	rpsG	100624.0	101092.0	MMSYN1_0148	86	MMSYN1_0150	24	JCVISYN3A_0148	86	JCVISYN3A_0150	24	MMSYN1_0150	24	+	MMSYN1_0148	86	+	JCVISYN3A_0150	24	+	JCVISYN3A_0148	86	+	12052	3545	False	False	unaffected
MMSYN1_0150	fusA	CP002027.1	189949	192019	+	JCVISYN3A_0150	JCVISYN3A_0150	101116.0	103186.0	MMSYN1_0149	24	MMSYN1_0151	131	JCVISYN3A_0149	24	JCVISYN3A_0151	131	MMSYN1_0151	131	+	MMSYN1_0149	24	+	JCVISYN3A_0151	131	+	JCVISYN3A_0149	24	+	12544	1451	False	False	unaffected
MMSYN1_0151	tuf	CP002027.1	192150	193338	+	JCVISYN3A_0151	JCVISYN3A_0151	103317.0	104505.0	MMSYN1_0150	131	MMSYN1_0152	132	JCVISYN3A_0150	131	JCVISYN3A_0158	276	MMSYN1_0152	132	+	MMSYN1_0150	131	+	JCVISYN3A_0158	276	+	JCVISYN3A_0150	131	+	14745	132	True	False	unaffected
MMSYN1_0154	lap	CP002027.1	197742	199098	+	JCVISYN3A_0154	JCVISYN3A_0154	311815.0	313171.0	MMSYN1_0153	152	MMSYN1_0155	1805	JCVISYN3A_0482	260	JCVISYN3A_0505	6192	MMSYN1_0155	1805	+	MMSYN1_0153	152	+	JCVISYN3A_0493	163	-	JCVISYN3A_0482	260	+	152	91	True	True	unaffected
MMSYN1_0158	ssrA	CP002027.1	203878	204289	+	JCVISYN3A_0158	ssrA	104781.0	105192.0	MMSYN1_0155	2372	MMSYN1_0159	124	JCVISYN3A_0151	276	JCVISYN3A_0165	3714	MMSYN1_0159	124	+	MMSYN1_0157	144	-	JCVISYN3A_0163	238	-	JCVISYN3A_0151	276	+	144	124	True	True	unaffected
MMSYN1_0163	alaS	CP002027.1	209528	212219	-	JCVISYN3A_0163	alaRS	105430.0	108121.0	MMSYN1_0164	73	MMSYN1_0162	113	JCVISYN3A_0164	73	JCVISYN3A_0116	28054	MMSYN1_0164	73	-	MMSYN1_0162	113	-	JCVISYN3A_0164	73	-	JCVISYN3A_0158	238	+	114	10175	False	True	unaffected
MMSYN1_0164		CP002027.1	212292	212787	-	JCVISYN3A_0164	JCVISYN3A_0164	108194.0	108689.0	MMSYN1_0170	9607	MMSYN1_0163	73	JCVISYN3A_0195	10048	JCVISYN3A_0163	73	MMSYN1_0165	217	+	MMSYN1_0163	73	-	JCVISYN3A_0165	217	+	JCVISYN3A_0163	73	-	2878	9607	False	False	unaffected
MMSYN1_0165		CP002027.1	213004	214249	+	JCVISYN3A_0165	amiC	108906.0	110151.0	MMSYN1_0159	6461	MMSYN1_0166	15	JCVISYN3A_0158	3714	JCVISYN3A_0166	15	MMSYN1_0166	15	+	MMSYN1_0164	217	-	JCVISYN3A_0166	15	+	JCVISYN3A_0164	217	-	3590	8145	False	False	unaffected
MMSYN1_0166		CP002027.1	214264	215275	+	JCVISYN3A_0166	JCVISYN3A_0166	110166.0	111177.0	MMSYN1_0165	15	MMSYN1_0167	13	JCVISYN3A_0165	15	JCVISYN3A_0167	13	MMSYN1_0167	13	+	MMSYN1_0165	15	+	JCVISYN3A_0167	13	+	JCVISYN3A_0165	15	+	4850	7119	False	False	unaffected
MMSYN1_0167		CP002027.1	215288	216989	+	JCVISYN3A_0167	amiE	111190.0	112891.0	MMSYN1_0166	13	MMSYN1_0168	1	JCVISYN3A_0166	13	JCVISYN3A_0168	1	MMSYN1_0168	1	+	MMSYN1_0166	13	+	JCVISYN3A_0168	1	+	JCVISYN3A_0166	13	+	5874	5405	False	False	unaffected
MMSYN1_0168		CP002027.1	216990	218859	+	JCVISYN3A_0168	amiF	112892.0	114761.0	MMSYN1_0167	1	MMSYN1_0169	16	JCVISYN3A_0167	1	JCVISYN3A_0169	16	MMSYN1_0169	16	+	MMSYN1_0167	1	+	JCVISYN3A_0169	16	+	JCVISYN3A_0167	1	+	7576	3535	False	False	unaffected
MMSYN1_0169		CP002027.1	218875	221977	+	JCVISYN3A_0169	amiA	114777.0	117879.0	MMSYN1_0168	16	MMSYN1_0172	3343	JCVISYN3A_0168	16	JCVISYN3A_0202	8379	MMSYN1_0170	417	-	MMSYN1_0168	16	+	JCVISYN3A_0195	858	-	JCVISYN3A_0168	16	+	9461	417	True	False	unaffected
MMSYN1_0195		CP002027.1	257212	260323	-	JCVISYN3A_0195	potC	118737.0	121848.0	MMSYN1_0196	-16	MMSYN1_0191	3032	JCVISYN3A_0196	-16	JCVISYN3A_0164	10048	MMSYN1_0196	-16	-	MMSYN1_0194	363	+	JCVISYN3A_0196	-16	-	JCVISYN3A_0169	858	+	442	5865	False	True	unaffected
MMSYN1_0196		CP002027.1	260307	261300	-	JCVISYN3A_0196	potB	121832.0	122825.0	MMSYN1_0197	-1	MMSYN1_0195	-16	JCVISYN3A_0197	-1	JCVISYN3A_0195	-16	MMSYN1_0197	-1	-	MMSYN1_0195	-16	-	JCVISYN3A_0197	-1	-	JCVISYN3A_0195	-16	-	3537	4888	False	False	unaffected
MMSYN1_0197		CP002027.1	261299	262355	-	JCVISYN3A_0197	potA	122824.0	123880.0	MMSYN1_0198	373	MMSYN1_0196	-1	JCVISYN3A_0198	373	JCVISYN3A_0196	-1	MMSYN1_0198	373	-	MMSYN1_0196	-1	-	JCVISYN3A_0198	373	-	JCVISYN3A_0196	-1	-	4529	3833	False	False	unaffected
MMSYN1_0198	rplT	CP002027.1	262728	263088	-	JCVISYN3A_0198	rplT	124253.0	124613.0	MMSYN1_0199	18	MMSYN1_0197	373	JCVISYN3A_0199	18	JCVISYN3A_0197	373	MMSYN1_0199	18	-	MMSYN1_0197	373	-	JCVISYN3A_0199	18	-	JCVISYN3A_0197	373	-	5958	3100	False	False	unaffected
MMSYN1_0199	rpmI	CP002027.1	263106	263298	-	JCVISYN3A_0199	rpmI	124631.0	124823.0	MMSYN1_0200	25	MMSYN1_0198	18	JCVISYN3A_0200	25	JCVISYN3A_0198	18	MMSYN1_0200	25	-	MMSYN1_0198	18	-	JCVISYN3A_0200	25	-	JCVISYN3A_0198	18	-	6336	2890	False	False	unaffected
MMSYN1_0200	infC	CP002027.1	263323	263869	-	JCVISYN3A_0200	infC	124848.0	125394.0	MMSYN1_0201	188	MMSYN1_0199	25	JCVISYN3A_0201	188	JCVISYN3A_0199	25	MMSYN1_0201	188	-	MMSYN1_0199	25	-	JCVISYN3A_0201	188	-	JCVISYN3A_0199	25	-	6553	2319	False	False	unaffected
MMSYN1_0201	def	CP002027.1	264057	264660	-	JCVISYN3A_0201	def	125582.0	126185.0	MMSYN1_0205	2779	MMSYN1_0200	188	JCVISYN3A_0218	5088	JCVISYN3A_0200	188	MMSYN1_0202	73	+	MMSYN1_0200	188	-	JCVISYN3A_0202	73	+	JCVISYN3A_0200	188	-	7287	1528	False	False	unaffected
MMSYN1_0202		CP002027.1	264733	265291	+	JCVISYN3A_0202	rsmD	126258.0	126816.0	MMSYN1_0194	7884	MMSYN1_0203	2	JCVISYN3A_0169	8379	JCVISYN3A_0203	2	MMSYN1_0203	2	+	MMSYN1_0201	73	-	JCVISYN3A_0203	2	+	JCVISYN3A_0201	73	-	7963	897	False	False	unaffected
MMSYN1_0203	gmk	CP002027.1	265293	266187	+	JCVISYN3A_0203	gmk	126818.0	127712.0	MMSYN1_0202	2	MMSYN1_0204	-11	JCVISYN3A_0202	2	JCVISYN3A_0213	207	MMSYN1_0204	-11	+	MMSYN1_0202	2	+	JCVISYN3A_0213	207	+	JCVISYN3A_0202	2	+	8523	1	True	False	unaffected
MMSYN1_0213	eno	CP002027.1	276075	277431	+	JCVISYN3A_0213	eno	127919.0	129275.0	MMSYN1_0208	4030	MMSYN1_0214	66	JCVISYN3A_0203	207	JCVISYN3A_0214	66	MMSYN1_0214	66	+	MMSYN1_0212	207	-	JCVISYN3A_0214	66	+	JCVISYN3A_0203	207	+	207	1962	False	True	unaffected
MMSYN1_0214		CP002027.1	277497	278319	+	JCVISYN3A_0214	pgpA	129341.0	130163.0	MMSYN1_0213	66	MMSYN1_0215	1	JCVISYN3A_0213	66	JCVISYN3A_0215	1	MMSYN1_0215	1	+	MMSYN1_0213	66	+	JCVISYN3A_0215	1	+	JCVISYN3A_0213	66	+	1629	1074	False	False	unaffected
MMSYN1_0215		CP002027.1	278320	278752	+	JCVISYN3A_0215	yrrK%3B yqgF	130164.0	130596.0	MMSYN1_0214	1	MMSYN1_0216	5	JCVISYN3A_0214	1	JCVISYN3A_0216	5	MMSYN1_0216	5	+	MMSYN1_0214	1	+	JCVISYN3A_0216	5	+	JCVISYN3A_0214	1	+	2452	641	False	False	unaffected
MMSYN1_0216	hpt_1	CP002027.1	278757	279330	+	JCVISYN3A_0216	hptA	130601.0	131174.0	MMSYN1_0215	5	MMSYN1_0220	3905	JCVISYN3A_0215	5	JCVISYN3A_0220	1967	MMSYN1_0217	59	-	MMSYN1_0215	5	+	JCVISYN3A_0218	99	-	JCVISYN3A_0215	5	+	2889	63	True	False	unaffected
MMSYN1_0218	glpK	CP002027.1	280203	281721	-	JCVISYN3A_0218	glpK	131273.0	132791.0	MMSYN1_0219	16	MMSYN1_0217	40	JCVISYN3A_0238	13786	JCVISYN3A_0201	5088	MMSYN1_0219	16	-	MMSYN1_0217	40	-	JCVISYN3A_0220	350	+	JCVISYN3A_0216	99	+	41	16	True	True	promoter_proximity_changed
MMSYN1_0220	pfkA	CP002027.1	283235	284216	+	JCVISYN3A_0220	pfkA	133141.0	134122.0	MMSYN1_0216	3905	MMSYN1_0221	70	JCVISYN3A_0216	1967	JCVISYN3A_0221	70	MMSYN1_0221	70	+	MMSYN1_0219	334	-	JCVISYN3A_0221	70	+	JCVISYN3A_0218	350	-	334	4175	False	True	unaffected
MMSYN1_0221	pyk	CP002027.1	284286	285723	+	JCVISYN3A_0221	pyk	134192.0	135629.0	MMSYN1_0220	70	MMSYN1_0222	264	JCVISYN3A_0220	70	JCVISYN3A_0222	264	MMSYN1_0222	264	+	MMSYN1_0220	70	+	JCVISYN3A_0222	264	+	JCVISYN3A_0220	70	+	1385	2668	False	False	unaffected
MMSYN1_0222	thrS	CP002027.1	285987	287907	+	JCVISYN3A_0222	thrRS	135893.0	137813.0	MMSYN1_0221	264	MMSYN1_0223	482	JCVISYN3A_0221	264	JCVISYN3A_0227	510	MMSYN1_0223	482	+	MMSYN1_0221	264	+	JCVISYN3A_0227	510	+	JCVISYN3A_0221	264	+	3086	484	True	False	unaffected
MMSYN1_0227	pdhC	CP002027.1	292934	294260	+	JCVISYN3A_0227	pdhC	138323.0	139649.0	MMSYN1_0226	28	MMSYN1_0228	18	JCVISYN3A_0222	510	JCVISYN3A_0228	18	MMSYN1_0228	18	+	MMSYN1_0226	28	+	JCVISYN3A_0228	18	+	JCVISYN3A_0222	510	+	29	4162	False	True	promoter_lost
MMSYN1_0228	lpdA	CP002027.1	294278	296168	+	JCVISYN3A_0228	lpdA	139667.0	141557.0	MMSYN1_0227	18	MMSYN1_0229	21	JCVISYN3A_0227	18	JCVISYN3A_0229	21	MMSYN1_0229	21	+	MMSYN1_0227	18	+	JCVISYN3A_0229	21	+	JCVISYN3A_0227	18	+	1373	2254	False	False	promoter_lost
MMSYN1_0229	pta	CP002027.1	296189	297158	+	JCVISYN3A_0229	pta	141578.0	142547.0	MMSYN1_0228	21	MMSYN1_0230	12	JCVISYN3A_0228	21	JCVISYN3A_0230	12	MMSYN1_0230	12	+	MMSYN1_0228	21	+	JCVISYN3A_0230	12	+	JCVISYN3A_0228	21	+	3284	1264	False	False	promoter_lost
MMSYN1_0230	ackA	CP002027.1	297170	298352	+	JCVISYN3A_0230	ackA	142559.0	143741.0	MMSYN1_0229	12	MMSYN1_0231	68	JCVISYN3A_0229	12	JCVISYN3A_0233	161	MMSYN1_0231	68	+	MMSYN1_0229	12	+	JCVISYN3A_0233	161	+	JCVISYN3A_0229	12	+	4265	70	True	False	promoter_lost
MMSYN1_0233	ptsP	CP002027.1	300901	302623	+	JCVISYN3A_0233	ptsI	143902.0	145624.0	MMSYN1_0232	93	MMSYN1_0234	81	JCVISYN3A_0230	161	JCVISYN3A_0234	81	MMSYN1_0234	81	+	MMSYN1_0232	93	+	JCVISYN3A_0234	81	+	JCVISYN3A_0230	161	+	98	910	False	True	promoter_lost
MMSYN1_0234		CP002027.1	302704	303169	+	JCVISYN3A_0234	crr	145705.0	146170.0	MMSYN1_0233	81	MMSYN1_0235	0	JCVISYN3A_0233	81	JCVISYN3A_0235	108	MMSYN1_0235	0	+	MMSYN1_0233	81	+	JCVISYN3A_0235	108	+	JCVISYN3A_0233	81	+	1901	364	False	False	promoter_lost
MMSYN1_0235		CP002027.1	303169	303460	+	JCVISYN3A_0235	JCVISYN3A_0235	146278.0	146461.0	MMSYN1_0234	0	MMSYN1_0236	72	JCVISYN3A_0234	108	JCVISYN3A_0239	997	MMSYN1_0236	72	+	MMSYN1_0234	0	+	JCVISYN3A_0238	116	-	JCVISYN3A_0234	108	+	2366	73	True	False	promoter_lost
MMSYN1_0238	rpsD	CP002027.1	304606	305233	-	JCVISYN3A_0238	rpsD	146577.0	147204.0	MMSYN1_0246	15176	MMSYN1_0219	21705	JCVISYN3A_0247	3409	JCVISYN3A_0218	13786	MMSYN1_0239	254	+	MMSYN1_0237	44	+	JCVISYN3A_0239	254	+	JCVISYN3A_0235	116	+	46	3373	False	True	unaffected
MMSYN1_0239		CP002027.1	305487	307275	+	JCVISYN3A_0239	JCVISYN3A_0239	147458.0	149246.0	MMSYN1_0237	925	MMSYN1_0240	7	JCVISYN3A_0235	997	JCVISYN3A_0240	7	MMSYN1_0240	7	+	MMSYN1_0238	254	-	JCVISYN3A_0240	7	+	JCVISYN3A_0238	254	-	927	1331	False	False	unaffected
MMSYN1_0240	thiI	CP002027.1	307282	308470	+	JCVISYN3A_0240	thiI	149253.0	150441.0	MMSYN1_0239	7	MMSYN1_0241	130	JCVISYN3A_0239	7	JCVISYN3A_0270	13613	MMSYN1_0241	130	+	MMSYN1_0239	7	+	JCVISYN3A_0247	172	-	JCVISYN3A_0239	7	+	2722	136	True	False	unaffected
MMSYN1_0247	ysxC	CP002027.1	323324	323915	-	JCVISYN3A_0247	ysxC%3B yihA	150613.0	151204.0	MMSYN1_0248	-7	MMSYN1_0246	8	JCVISYN3A_0248	-7	JCVISYN3A_0238	3409	MMSYN1_0248	-7	-	MMSYN1_0246	8	-	JCVISYN3A_0248	-7	-	JCVISYN3A_0240	172	+	10	1909	False	True	context_only
MMSYN1_0248		CP002027.1	323908	324469	-	JCVISYN3A_0248	JCVISYN3A_0248	151197.0	151758.0	MMSYN1_0249	1	MMSYN1_0247	-7	JCVISYN3A_0249	1	JCVISYN3A_0247	-7	MMSYN1_0249	1	-	MMSYN1_0247	-7	-	JCVISYN3A_0249	1	-	JCVISYN3A_0247	-7	-	594	1355	False	False	unaffected
MMSYN1_0249		CP002027.1	324470	325049	-	JCVISYN3A_0249	JCVISYN3A_0249	151759.0	152338.0	MMSYN1_0250	2	MMSYN1_0248	1	JCVISYN3A_0250	2	JCVISYN3A_0248	1	MMSYN1_0250	2	-	MMSYN1_0248	1	-	JCVISYN3A_0250	2	-	JCVISYN3A_0248	1	-	1156	775	False	False	unaffected
MMSYN1_0250		CP002027.1	325051	325741	-	JCVISYN3A_0250	JCVISYN3A_0250	152340.0	153030.0	MMSYN1_0252	774	MMSYN1_0249	2	JCVISYN3A_0253	125	JCVISYN3A_0249	2	MMSYN1_0251	81	+	MMSYN1_0249	2	-	JCVISYN3A_0253	125	-	JCVISYN3A_0249	2	-	1737	83	True	False	readthrough_exposed
MMSYN1_0253		CP002027.1	327282	327756	-	JCVISYN3A_0253	greA	153155.0	153629.0	MMSYN1_0254	122	MMSYN1_0252	44	JCVISYN3A_0254	122	JCVISYN3A_0250	125	MMSYN1_0254	122	-	MMSYN1_0252	44	-	JCVISYN3A_0254	122	-	JCVISYN3A_0250	125	-	44	1893	False	True	context_only
MMSYN1_0254	uvrC	CP002027.1	327878	329633	-	JCVISYN3A_0254	uvrC	153751.0	155506.0	MMSYN1_0255	9	MMSYN1_0253	122	JCVISYN3A_0257	121	JCVISYN3A_0253	122	MMSYN1_0255	9	-	MMSYN1_0253	122	-	JCVISYN3A_0257	121	-	JCVISYN3A_0253	122	-	640	16	True	False	promoter_lost
MMSYN1_0257		CP002027.1	332497	334249	-	JCVISYN3A_0257	rnjB	155627.0	157379.0	MMSYN1_0258	125	MMSYN1_0256	105	JCVISYN3A_0259	136	JCVISYN3A_0254	121	MMSYN1_0258	125	-	MMSYN1_0256	105	-	JCVISYN3A_0259	136	-	JCVISYN3A_0254	121	-	106	125	True	True	readthrough_exposed
MMSYN1_0259		CP002027.1	335105	335903	-	JCVISYN3A_0259	nadK	157515.0	158313.0	MMSYN1_0260	110	MMSYN1_0258	11	JCVISYN3A_0260	110	JCVISYN3A_0257	136	MMSYN1_0260	110	-	MMSYN1_0258	11	-	JCVISYN3A_0260	110	-	JCVISYN3A_0257	136	-	14	2816	False	True	context_only
MMSYN1_0260	valS	CP002027.1	336013	338632	-	JCVISYN3A_0260	valRS	158423.0	161042.0	MMSYN1_0261	86	MMSYN1_0259	110	JCVISYN3A_0262	171	JCVISYN3A_0259	110	MMSYN1_0261	86	-	MMSYN1_0259	110	-	JCVISYN3A_0262	171	-	JCVISYN3A_0259	110	-	922	87	True	False	promoter_disconnected
MMSYN1_0262	rpe	CP002027.1	339334	340097	-	JCVISYN3A_0262	rpe	161213.0	161891.0	MMSYN1_0263	1	MMSYN1_0261	-11	JCVISYN3A_0263	1	JCVISYN3A_0260	171	MMSYN1_0263	1	-	MMSYN1_0261	-11	-	JCVISYN3A_0263	1	-	JCVISYN3A_0260	171	-	0	2044	False	True	promoter_proximity_changed
MMSYN1_0263	rsgA	CP002027.1	340098	341001	-	JCVISYN3A_0263	JCVISYN3A_0263	161892.0	162795.0	MMSYN1_0264	9	MMSYN1_0262	1	JCVISYN3A_0264	9	JCVISYN3A_0262	1	MMSYN1_0264	9	-	MMSYN1_0262	1	-	JCVISYN3A_0264	9	-	JCVISYN3A_0262	1	-	764	1140	False	False	promoter_proximity_changed
MMSYN1_0264		CP002027.1	341010	342126	-	JCVISYN3A_0264	JCVISYN3A_0264	162804.0	163920.0	MMSYN1_0268	-1	MMSYN1_0263	9	JCVISYN3A_0287	7257	JCVISYN3A_0263	9	MMSYN1_0268	-1	-	MMSYN1_0263	9	-	JCVISYN3A_0270	134	+	JCVISYN3A_0263	9	-	1676	15	True	False	promoter_proximity_changed
MMSYN1_0270		CP002027.1	344440	344857	+	JCVISYN3A_0270	tsaE%3B yjeE	164054.0	164471.0	MMSYN1_0251	17925	MMSYN1_0271	1	JCVISYN3A_0240	13613	JCVISYN3A_0271	1	MMSYN1_0271	1	+	MMSYN1_0269	119	-	JCVISYN3A_0271	1	+	JCVISYN3A_0264	134	-	121	565	False	True	unaffected
MMSYN1_0271		CP002027.1	344858	345422	+	JCVISYN3A_0271	tsaB%3B yeaZ	164472.0	165036.0	MMSYN1_0270	1	MMSYN1_0273	5569	JCVISYN3A_0270	1	JCVISYN3A_0280	541	MMSYN1_0272	35	-	MMSYN1_0270	1	+	JCVISYN3A_0280	541	+	JCVISYN3A_0270	1	+	539	0	True	False	unaffected
MMSYN1_0280		CP002027.1	360218	360308	+	JCVISYN3A_0280	tRNA-Ser	165577.0	165667.0	MMSYN1_0279	243	MMSYN1_0281	119	JCVISYN3A_0271	541	JCVISYN3A_0281	119	MMSYN1_0281	119	+	MMSYN1_0279	243	+	JCVISYN3A_0281	119	+	JCVISYN3A_0271	541	+	243	2836	False	True	unaffected
MMSYN1_0281		CP002027.1	360427	361108	+	JCVISYN3A_0281	JCVISYN3A_0281	165786.0	166467.0	MMSYN1_0280	119	MMSYN1_0282	-20	JCVISYN3A_0280	119	JCVISYN3A_0282	-20	MMSYN1_0282	-20	+	MMSYN1_0280	119	+	JCVISYN3A_0282	-20	+	JCVISYN3A_0280	119	+	452	2036	False	False	unaffected
MMSYN1_0282	proS	CP002027.1	361088	362513	+	JCVISYN3A_0282	proRS	166447.0	167872.0	MMSYN1_0281	-20	MMSYN1_0283	12	JCVISYN3A_0281	-20	JCVISYN3A_0283	12	MMSYN1_0283	12	+	MMSYN1_0281	-20	+	JCVISYN3A_0283	12	+	JCVISYN3A_0281	-20	+	1113	631	False	False	unaffected
MMSYN1_0283	rnhA	CP002027.1	362525	363143	+	JCVISYN3A_0283	rnhA	167884.0	168502.0	MMSYN1_0282	12	MMSYN1_0284	1	JCVISYN3A_0282	12	JCVISYN3A_0285	24	MMSYN1_0284	1	+	MMSYN1_0282	12	+	JCVISYN3A_0285	24	+	JCVISYN3A_0282	12	+	2550	1	True	False	unaffected
MMSYN1_0285	lepA	CP002027.1	364055	365858	+	JCVISYN3A_0285	lepA%3B EF4	168526.0	170329.0	MMSYN1_0284	23	MMSYN1_0286	25	JCVISYN3A_0283	24	JCVISYN3A_0286	25	MMSYN1_0286	25	+	MMSYN1_0284	23	+	JCVISYN3A_0286	25	+	JCVISYN3A_0283	24	+	25	5855	False	True	promoter_lost
MMSYN1_0286		CP002027.1	365883	366690	+	JCVISYN3A_0286	JCVISYN3A_0286	170354.0	171161.0	MMSYN1_0285	25	MMSYN1_0289	3178	JCVISYN3A_0285	25	JCVISYN3A_0289	3178	MMSYN1_0287	16	-	MMSYN1_0285	25	+	JCVISYN3A_0287	16	-	JCVISYN3A_0285	25	+	1853	5023	False	False	context_only
MMSYN1_0287	aspS	CP002027.1	366706	368431	-	JCVISYN3A_0287	aspRS	171177.0	172902.0	MMSYN1_0288	8	MMSYN1_0278	7277	JCVISYN3A_0288	8	JCVISYN3A_0264	7257	MMSYN1_0288	8	-	MMSYN1_0286	16	+	JCVISYN3A_0288	8	-	JCVISYN3A_0286	16	+	2676	3282	False	False	unaffected
MMSYN1_0288	hisS	CP002027.1	368439	369684	-	JCVISYN3A_0288	hisRS	172910.0	174155.0	MMSYN1_0292	2029	MMSYN1_0287	8	JCVISYN3A_0297	3401	JCVISYN3A_0287	8	MMSYN1_0289	184	+	MMSYN1_0287	8	-	JCVISYN3A_0289	184	+	JCVISYN3A_0287	8	-	4409	2029	False	False	unaffected
MMSYN1_0289	rbfA	CP002027.1	369868	370222	+	JCVISYN3A_0289	rbfA	174339.0	174693.0	MMSYN1_0286	3178	MMSYN1_0290	49	JCVISYN3A_0286	3178	JCVISYN3A_0290	49	MMSYN1_0290	49	+	MMSYN1_0288	184	-	JCVISYN3A_0290	49	+	JCVISYN3A_0288	184	-	5838	1491	False	False	unaffected
MMSYN1_0290	truB	CP002027.1	370271	371150	+	JCVISYN3A_0290	truB	174742.0	175621.0	MMSYN1_0289	49	MMSYN1_0291	-14	JCVISYN3A_0289	49	JCVISYN3A_0291	-14	MMSYN1_0291	-14	+	MMSYN1_0289	49	+	JCVISYN3A_0291	-14	+	JCVISYN3A_0289	49	+	6241	563	False	False	unaffected
MMSYN1_0291		CP002027.1	371136	371691	+	JCVISYN3A_0291	ribF	175607.0	176162.0	MMSYN1_0290	-14	MMSYN1_0294	4275	JCVISYN3A_0290	-14	JCVISYN3A_0294	234	MMSYN1_0292	22	-	MMSYN1_0290	-14	+	JCVISYN3A_0294	234	+	JCVISYN3A_0290	-14	+	7106	22	True	False	unaffected
