locus_tag,gene_name,gene_product,protein_localization,TPM_illumina,iPM_mean,protein_copy_number,CAI,TIR,protein_halflife_h
JCVISYN3A_0415,smc,Chromosome segregation protein,cytoplasmic,234.237,474.166,47.58778767392597,0.742,32449.068,4.797
JCVISYN3A_0416,,Uncharacterized protein,cytoplasmic,48.923,6.755,0.6779531679035816,0.654,1196.337,
JCVISYN3A_0418,rnc,Ribonuclease III,cytoplasmic,307.313,892.068,89.52878650531841,0.749,5356.205,
JCVISYN3A_0419,plsX,Phosphate acyltransferase,cytoplasmic,289.731,833.667,83.6675884018334,0.793,8004.518,10.28
JCVISYN3A_0420,fakA,Fatty acid kinase subunit A,cytoplasmic,460.898,1418.857,142.3978006399708,0.742,5963.058,8.605
JCVISYN3A_0421,-/yloU,Uncharacterized protein/lipid synthesis regulation,cytoplasmic,451.776,447.323,44.89374143156386,0.579,812.012,
JCVISYN3A_0422,rpmB,50S ribosomal protein L28,cytoplasmic,2153.703,3601.501,361.4500023157229,0.701,11004.464,4.172
JCVISYN3A_0424,-/yqgC-like,Uncharacterized protein/Unknown - B. subtilis ortholog,cytoplasmic,9.971,63.169,6.339718573158018,0.622,1067.666,
JCVISYN3A_0425,pstS,Phosphate ABC transporter substrate-binding protein,membrane,45.438,101.68,10.204737073795496,0.731,11941.637,
JCVISYN3A_0426,pstA,Phosphate ABC transporter permease,membrane,69.232,87.022,8.733631172511117,0.714,6206.43,80.823
JCVISYN3A_0427,pstB,Phosphate ABC transporter ATP-binding protein,cytoplasmic,117.128,708.081,71.06371038861869,0.764,14560.59,8.433
JCVISYN3A_0428,phoU,Phosphate transport system regulatory protein,cytoplasmic,102.609,951.051,95.44839567196604,0.728,1376.984,
JCVISYN3A_0429,ftsY,Signal recognition particle-docking protein,cytoplasmic,333.471,1143.61,114.77378933519172,0.804,72250.862,4.631
JCVISYN3A_0430,-/ylxM,Uncharacterized DNA-binding protein/effector of translocation SRP,cytoplasmic,348.441,358.78,36.00746114066469,0.677,599.234,3.66
JCVISYN3A_0431,ymdB/ymdB,Uncharacterized metallophosphoesterase/Damage Control phosphoesterase,cytoplasmic,447.251,533.456,53.53817103184639,0.748,25170.528,27.269
JCVISYN3A_0432,metK,Methionine adenosyltransferase,cytoplasmic,82.533,399.326,40.0766811783264,0.786,61662.413,6.417
JCVISYN3A_0433,cutC/cutC-like,Uncharacterized protein/Copper Homeostasis Regulator,cytoplasmic,64.104,240.314,24.11816989055876,0.742,12251.257,
JCVISYN3A_0434,rlmFO,23S rRNA (uridine(1939)-m5)-methyltransferase,cytoplasmic,113.069,195.27,19.597438256307356,0.739,4944.376,
JCVISYN3A_0435,manA,Mannose-6-phosphate isomerase,cytoplasmic,110.805,68.783,6.9031707086383705,0.746,1618.413,
JCVISYN3A_0437,yhaM,Putative 3'-5' exoribonuclease,cytoplasmic,1261.959,2698.614,270.8354074860825,0.672,11491.057,
JCVISYN3A_0438,hinT,Uncharacterized protein,cytoplasmic,235.895,1019.396,102.3075611245182,0.758,1175.185,12.119
JCVISYN3A_0439,,Uncharacterized lipoprotein,lipoprotein,1847.368,3335.828,334.78677602611344,0.656,8667.573,
JCVISYN3A_0440,,Uncharacterized lipoprotein,lipoprotein,1252.629,2949.799,296.0445911418709,0.627,12352.934,
JCVISYN3A_0441,iscS,Cysteine desulfurase,cytoplasmic,41.366,134.791,13.527708682412094,0.835,24977.947,10.236
JCVISYN3A_0442,iscU,Iron-sulfur cluster assembly scaffold protein,cytoplasmic,25.8,217.95,21.873651752628223,0.731,277.863,
JCVISYN3A_0443,yggN,5-Formyltetrahydrofolate cyclo-ligase,cytoplasmic,48.986,126.544,12.700064635611204,0.814,921.406,5.4
JCVISYN3A_0444,pepO,Oligopeptidase ,cytoplasmic,109.613,1238.837,124.33085809233712,0.8,18542.379,
JCVISYN3A_0445,pgi,Glucose-6-phosphate isomerase,cytoplasmic,783.774,1099.709,110.36782306475486,0.792,977.973,17.973
JCVISYN3A_0447,dut,dUTP diphosphatase,cytoplasmic,792.818,235.284,23.613286825016065,0.757,61567.505,
JCVISYN3A_0448,spoU,Uncharacterized rRNA methyltransferase,cytoplasmic,806.105,564.218,56.62542643984351,0.677,9393.483,
JCVISYN3A_0451,gapdh,Glyceraldehyde-3-phosphate dehydrogenase,cytoplasmic,603.082,3018.17,302.90637798073027,0.797,204741.848,
JCVISYN3A_0452,parE,DNA topoisomerase IV subunit B,cytoplasmic,170.334,481.138,48.28750383643591,0.796,1102.669,1.38
JCVISYN3A_0453,parC,DNA topoisomerase IV subunit A,cytoplasmic,128.693,666.439,66.8844043820312,0.775,11040.458,1.656
JCVISYN3A_0475,ldh,L-lactate dehydrogenase,cytoplasmic,14382.13,41112.018,4126.0401623553,0.732,33773.424,16.154
JCVISYN3A_0478,,Uncharacterized protein,membrane,15.175,80.281,8.057055700628986,0.661,1435.393,
JCVISYN3A_0479,,Uncharacterized peptidase,membrane,20.135,318.886,32.003675349721014,0.793,3896.041,
JCVISYN3A_0481,,Uncharacterized lipoprotein,lipoprotein,274.121,0.876,0.0878809586508878,0.593,33304.461,
JCVISYN3A_0482,rpsU,30S ribosomal protein S21,cytoplasmic,720.644,1872.887,187.96468041907173,0.671,2334.933,
JCVISYN3A_0154,pepA; CARP,Uncharacterized peptidase,cytoplasmic,2056.711,10245.032,1028.2008573400492,0.828,69417.691,8.323
JCVISYN3A_0493,dapE,Low specificity dipeptidase ,cytoplasmic,524.817,822.509,82.5477484521577,0.748,13271.695,
JCVISYN3A_0494,nanE,N-acetylmannosamine-6-phosphate 2-epimerase,cytoplasmic,30.601,213.022,21.37911877180696,0.754,11473.37,
JCVISYN3A_0495,nanK,Uncharacterized kinase,cytoplasmic,66.485,32.063,3.2179025522534,0.692,74.367,
JCVISYN3A_0499,rpmA,50S ribosomal protein L27,cytoplasmic,4285.26,4110.885,412.5721812513333,0.791,84752.226,
JCVISYN3A_0500,prp;ysxB,Maturation protease for ribosomal protein L27,cytoplasmic,3175.097,411.424,41.29093580033448,0.643,301.134,
JCVISYN3A_0501,rplU,50S ribosomal protein L21,cytoplasmic,4370.85,4780.34,479.7593270784667,0.688,5373.725,4.06
JCVISYN3A_0503,,Uncharacterized protein,extracellular,97.149,,,0.754,16210.289,
JCVISYN3A_0504,rsmI,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,cytoplasmic,20.48,213.922,21.46941539452717,0.768,6749.71,1.858
JCVISYN3A_0930,rpmG,50S ribosomal protein L33,cytoplasmic,3213.677,28.432,2.8534487326235687,0.505,13441.051,
JCVISYN3A_0505,,Uncharacterized lipoprotein,extracellular,266.274,4566.219,458.26993489898086,0.707,22682.909,
JCVISYN3A_0511,,Uncharacterized protein,cytoplasmic,85.363,908.842,91.21226056866786,0.729,8344.052,
JCVISYN3A_0512,plsC,Acyl-phosphate glycerol 3-phosphate acyltransferase,cytoplasmic,74.325,1574.195,157.98770651010136,0.769,575.737,6.359
JCVISYN3A_0513,acpS,ACP synthase,cytoplasmic,65.396,14.446,1.4498542880921976,0.71,874.12,
JCVISYN3A_0515,dctD,Cytidine deaminase,cytoplasmic,424.909,528.175,53.00816934074943,0.796,23.513,
JCVISYN3A_0516,-/yqgP-gplG,Uncharacterized protein/membrane protease,membrane,266.957,166.051,16.664984937816286,0.729,14963.907,
JCVISYN3A_0517,rluD,Uncharacterized RNA pseudouridine synthase,cytoplasmic,89.684,718.829,72.14237661405217,0.755,7087.08,0.888
JCVISYN3A_0518,lspA,Lipoprotein signal peptidase,membrane,97.615,2.965,0.2975753273594955,0.609,2679.24,
JCVISYN3A_0519,ileRS,Isoleucine--tRNA ligase,cytoplasmic,101.069,692.324,69.48230952297732,0.831,17842.74,11.165
JCVISYN3A_0520,,Uncharacterized hydrolase,cytoplasmic,497.649,134.546,13.503130647655093,0.723,1084.827,
JCVISYN3A_0521,sepF,Cell division protein,cytoplasmic,1830.708,3301.44,331.3355987487635,0.737,12751.273,
JCVISYN3A_0522,ftsZ,Cell division protein,cytoplasmic,5478.717,9125.799,915.873606525063,0.749,11770.849,0.999
JCVISYN3A_0523,ftsA,Cell division protein,cytoplasmic,28.694,273.169,27.41546459964109,0.768,5584.436,
JCVISYN3A_0524,rsmH; mraW,16S rRNA (cytosine(1402)-N(4))-methyltransferase,cytoplasmic,68.028,133.891,13.437401995433651,0.734,2024.89,7.803
JCVISYN3A_0525,mraZ,Cell division/cell wall cluster transcriptional repressor,cytoplasmic,69.823,92.127,9.245905476221836,0.748,2799.51,47.314
JCVISYN3A_0526,rpmF,50S ribosomal protein L32,cytoplasmic,5413.985,468.041,46.97306446908363,0.667,126438.64,
JCVISYN3A_0527,-/ylbN,Uncharacterized protein/23S rRNA regulator,cytoplasmic,1046.924,841.165,84.4200858897213,0.691,368.378,
JCVISYN3A_0528,pheRS,Phenylalanine--tRNA ligase subunit beta,cytoplasmic,344.212,3765.681,377.92722523994206,0.811,12936.286,
JCVISYN3A_0529,pheS,Phenylalanine--tRNA ligase subunit alpha,cytoplasmic,862.872,3209.581,322.1165351594027,0.839,5584.436,7.869
JCVISYN3A_0530,,Uncharacterized protein,cytoplasmic,137.076,3132.935,314.4242169852028,0.839,27969.38,
JCVISYN3A_0535,argRS,Arginine--tRNA ligase,cytoplasmic,181.483,456.972,45.86208853683603,0.777,176.464,20.048
JCVISYN3A_0536,frr,Ribosome recycling factor,cytoplasmic,408.014,5188.615,520.7341731189348,0.751,17842.74,6.377
JCVISYN3A_0537,pyrH,UMP kinase,cytoplasmic,559.272,1122.365,112.64154779828344,0.704,27705.316,5.681
JCVISYN3A_0538,,Uncharacterized protein,membrane,421.416,1287.165,129.1810660360376,0.662,74.886,
JCVISYN3A_0539,tsf,Translation elongation factor Ts,cytoplasmic,1577.733,11548.192,1158.987231289456,0.874,64179.065,7.284
JCVISYN3A_0540,rpsB,30S ribosomal protein S2,cytoplasmic,2419.575,10225.908,1026.2816017391194,0.843,8684.601,2.184
JCVISYN3A_0541,dnaJ,Molecular chaperone,cytoplasmic,422.506,1034.723,103.84578108743656,0.745,3749.036,18.038
JCVISYN3A_0542,dnaK,Molecular chaperone,cytoplasmic,1056.371,15289.538,1534.4722146572983,0.843,99458.658,47.314
JCVISYN3A_0543,grpE,Nucleotide exchange factor,cytoplasmic,94.937,6293.221,631.5935235444026,0.774,221795.311,7.857
JCVISYN3A_0544,hrcA,Heat-inducible transcription repressor,cytoplasmic,63.82,1321.057,132.58253954365895,0.731,274.005,2.047
JCVISYN3A_0545,clpB,ATP-dependent Clp protease subunit B,cytoplasmic,360.954,4571.758,458.8259056187667,0.769,5685.394,47.314
JCVISYN3A_0548,trmL; cspR,tRNA (cytidine(34)-2'-O)-methyltransferase,cytoplasmic,351.367,1433.576,143.8749732917535,0.695,4960.548,1.48
JCVISYN3A_0549,rgdB,Non-canonical purine NTP pyrophosphatase,cytoplasmic,53.573,349.029,35.02883535605556,0.793,3194.686,
JCVISYN3A_0931,met14p,Adenylyl-sulfate kinase,cytoplasmic,9721.626,0.697,0.069910742011994,0.282,634.729,
JCVISYN3A_0592,,Uncharacterized protein,cytoplasmic,10.668,232.361,23.3199160082482,0.757,0.47,2.564
JCVISYN3A_0593,,Uncharacterized protein,cytoplasmic,1.148,,,0.647,57.703,
JCVISYN3A_0599,,Uncharacterized protein,cytoplasmic,53.332,70.708,7.096283271164282,0.612,11921.053,
JCVISYN3A_0600,rnjA,Ribonuclease J,cytoplasmic,1342.8,999.125,100.27309447909212,0.789,2283.075,6.001
JCVISYN3A_0601,,Uncharacterized protein,membrane,411.598,665.113,66.75138816407224,0.714,13906.562,
JCVISYN3A_0604,lemA/lemA-gacS,"Uncharacterized protein/two component sensor, membrane",membrane,343.59,3618.562,363.1622716097494,0.709,15574.635,
JCVISYN3A_0605,,Uncharacterized protein,lipoprotein,119.635,58.24,5.84505759590149,0.456,14585.732,
JCVISYN3A_0606,pgk,Phosphoglycerate kinase,cytoplasmic,1128.892,5461.438,548.1149488870926,0.789,33787.69,11.229
JCVISYN3A_0607,gapDH,Type I glyceraldehyde-3-phosphate dehydrogenase,cytoplasmic,5145.836,22688.156,2277.004298972766,0.752,6296.482,47.314
JCVISYN3A_0608,dnaI,Primosomal protein,cytoplasmic,39.129,156.521,15.708608692555208,0.763,3460.779,
JCVISYN3A_0609,dnaB,Chromosome replication initiation protein,cytoplasmic,14.851,24.099,2.4185938720868667,0.729,13271.695,
JCVISYN3A_0610,mutM,DNA-formamidopyrimidine glycosylase,cytoplasmic,36.327,491.317,49.30902408448931,0.762,4220.552,5.135
JCVISYN3A_0611,polA,DNA polymerase I,cytoplasmic,42.834,411.839,41.332507364223126,0.792,15454.492,
JCVISYN3A_0612,dnaE,DNA polymerase III subunit alpha,cytoplasmic,39.303,86.979,8.729245707251378,0.739,4766.03,2.734
JCVISYN3A_0613,tyrRS,Tyrosine--tRNA ligase,cytoplasmic,260.488,349.974,35.12375839732114,0.777,14013.782,18.273
JCVISYN3A_0614,pncB,Nicotinate phosphoribosyltransferase,cytoplasmic,361.769,721.157,72.37593623362875,0.732,3194.686,
JCVISYN3A_0615,,Uncharacterized protein,cytoplasmic,96.678,1594.567,160.0322075644602,0.704,84103.781,4.949
JCVISYN3A_0616,fakB,Fatty acid binding protein,cytoplasmic,793.332,8672.842,870.4144092817115,0.682,2692.668,7.626
JCVISYN3A_0617,fakB,Fatty acid binding protein,cytoplasmic,954.667,2582.512,259.1832455692676,0.672,66695.617,
JCVISYN3A_0620,perR,Uncharacterized transcriptional regulator,cytoplasmic,67.58,372.89,37.42358281276896,0.688,7990.72,
JCVISYN3A_0621,acpA,Acyl carrier protein,cytoplasmic,100.094,104.484,10.48615956992482,0.579,7890.038,
JCVISYN3A_0622,,Uncharacterized lipoprotein,membrane,0.87,,,0.645,4346.939,
JCVISYN3A_0623,,Uncharacterized protein,cytoplasmic,1.262,,,0.689,1084.827,
JCVISYN3A_0634,leuRS,Leucine--tRNA ligase,cytoplasmic,240.98,411.825,41.33117463307068,0.749,33839.774,7.596
JCVISYN3A_0636,,Uncharacterized lipoprotein,lipoprotein,32.464,363.25,36.45607439819655,0.644,7389.064,
JCVISYN3A_0637,rpsI,30S ribosomal protein S9,cytoplasmic,14940.961,9034.603,906.7211355447544,0.771,21750.714,3.57
JCVISYN3A_0638,rplM,50S ribosomal protein L13,cytoplasmic,16620.903,6950.568,697.5653914427581,0.695,8667.573,3.948
JCVISYN3A_0639,,Uncharacterized efflux ABC transporter permease,membrane,56.032,171.723,17.23431590216381,0.789,6997.783,
JCVISYN3A_0640,truA,tRNA pseudouridine(38-40) synthase,cytoplasmic,161.464,226.698,22.751604371402,0.776,787.73,2.656
JCVISYN3A_0641,ecfT,ECF transporter T component,membrane,404.644,1329.041,133.38376482388497,0.743,6553.462,
JCVISYN3A_0642,ecfA,ECF transporter ATPase,cytoplasmic,408.465,3909.92,392.4032224402523,0.714,5963.058,5.986
JCVISYN3A_0643,ecfA,ECF transporter ATPase,cytoplasmic,173.525,2532.886,254.202795154587,0.703,8316.849,6.818
JCVISYN3A_0644,rplQ,50S ribosomal protein L17,cytoplasmic,4622.533,2799.414,280.9517816782558,0.635,107742.819,5.57
JCVISYN3A_0645,rpoA,DNA-directed RNA polymerase subunit alpha,cytoplasmic,7826.178,11555.649,1159.7356107367016,0.719,12751.273,4.968
JCVISYN3A_0646,rpsK,30S ribosomal protein S11,cytoplasmic,13235.014,5115.055,513.3516867247947,0.625,24572.226,4.329
JCVISYN3A_0647,rpsM,30S ribosomal protein S13,cytoplasmic,8634.076,26477.147,2657.2709472008114,0.695,2137.209,4.132
JCVISYN3A_0648,rpmJ,50S ribosomal protein L36,cytoplasmic,12513.861,2266.572,227.4752282278475,0.495,33729.449,
JCVISYN3A_0649,infA,Translation initiation factor IF-1,cytoplasmic,10731.57,2345.456,235.3921161890605,0.499,6997.783,1.95
JCVISYN3A_0650,map,Type I methionyl aminopeptidase,cytoplasmic,3156.751,405.643,40.7107466132758,0.672,31668.442,3.657
JCVISYN3A_0651,adk,Adenylate kinase,cytoplasmic,352.428,1858.22,186.49267454785385,0.823,3144.149,4.034
JCVISYN3A_0652,secY,Preprotein translocase subunit,membrane,6183.513,203.961,20.46971780300536,0.639,9637.035,29.803
JCVISYN3A_0653,rplO,50S ribosomal protein L15,cytoplasmic,15457.766,2617.555,262.7002209201167,0.618,119793.778,3.501
JCVISYN3A_0654,rpsE,30S ribosomal protein S5,cytoplasmic,10722.44,9352.91,938.6666881852778,0.8,31136.05,4.196
JCVISYN3A_0655,rplR,50S ribosomal protein L18,cytoplasmic,6373.352,3231.496,324.3159158538511,0.797,1530.352,4.723
JCVISYN3A_0656,rplF,50S ribosomal protein L6,cytoplasmic,12229.211,8341.643,837.1749950228458,0.775,8344.052,3.814
JCVISYN3A_0657,rpsH,30S ribosomal protein S8,cytoplasmic,12130.826,9050.217,908.2881566377564,0.66,8547.219,4.458
JCVISYN3A_0658,rpsN,30S ribosomal protein S14,cytoplasmic,11803.53,15370.7,1542.617661628065,0.707,83575.394,
JCVISYN3A_0659,rplE,50S ribosomal protein L5,cytoplasmic,8057.749,17006.898,1706.8279897418088,0.742,31176.644,4.023
JCVISYN3A_0660,rplX,50S ribosomal protein L24,cytoplasmic,13568.795,11668.341,1171.0455159898984,0.747,20078.339,
JCVISYN3A_0661,rplN,50S ribosomal protein L14,cytoplasmic,15281.296,5838.013,585.9083895306077,0.718,13989.626,4.962
JCVISYN3A_0662,rpsQ,30S ribosomal protein S17,cytoplasmic,12136.14,5215.763,523.4587740076049,0.781,9389.517,3.931
JCVISYN3A_0663,rpmC,50S ribosomal protein L29,cytoplasmic,12777.291,5854.774,587.590545602766,0.782,20897.804,
JCVISYN3A_0664,rplP,50S ribosomal protein L16,cytoplasmic,13182.204,2659.067,266.8664561184438,0.752,76353.656,3.939
JCVISYN3A_0665,rpsC,30S ribosomal protein S3,cytoplasmic,10413.1,28467.639,2857.0385606577106,0.804,11004.464,3.952
JCVISYN3A_0666,rplV,50S ribosomal protein L22,cytoplasmic,9920.818,7521.562,754.8708732521773,0.77,15928.4,4.324
JCVISYN3A_0667,rpsS,30S ribosomal protein S19,cytoplasmic,13689.608,19885.89,1995.766342686151,0.7,26770.756,3.118
JCVISYN3A_0668,rplB,50S ribosomal protein L2,cytoplasmic,13590.191,12513.602,1255.876630924241,0.666,12751.273,5.799
JCVISYN3A_0669,rplW,50S ribosomal protein L23,cytoplasmic,4422.11,11510.284,1155.1827280142415,0.731,27373.832,
JCVISYN3A_0670,rplD,50S ribosomal protein L4,cytoplasmic,8415.041,8758.367,878.9977684370374,0.705,30012.961,4.078
JCVISYN3A_0671,rplC,50S ribosomal protein L3,cytoplasmic,13897.237,5818.149,583.9148278919773,0.694,94231.703,4.711
JCVISYN3A_0672,rpsJ,30S ribosomal protein S10,cytoplasmic,11080.367,7907.56,793.6100002414903,0.674,112187.535,4.283
JCVISYN3A_0684,folD,"Bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/5,10-methylene-tetrahydrofolate cyclohydrolase",cytoplasmic,130.971,273.724,27.471178563088248,0.733,4053.339,2.934
JCVISYN3A_0685,ktrD,Sodium transporter,membrane,102.522,76.747,7.702390394994842,0.71,26197.822,69.882
JCVISYN3A_0686,ktrC,Potassium transporter,cytoplasmic,96.394,1597.875,160.36425212968842,0.775,17815.277,11.085
JCVISYN3A_0687,gatB,Glutamyl-tRNA amidotransferase subunit B,cytoplasmic,253.889,945.467,94.88794789704951,0.788,32512.816,6.456
JCVISYN3A_0688,gatA,Glutamyl-tRNA amidotransferase subunit A,cytoplasmic,769.014,874.844,87.800145255484,0.76,39083.54,6.805
JCVISYN3A_0689,gatC,Glutamyl-tRNA amidotransferase subunit C,cytoplasmic,384.334,64.921,6.515564529470161,0.617,3460.779,
JCVISYN3A_0690,ligA,DNA ligase (NAD(+)),cytoplasmic,350.433,224.364,22.517372615604685,0.787,10158.349,4.056
JCVISYN3A_0691,,Uncharacterized protein,membrane,143.169,36.047,3.617718157187119,0.695,1976.759,
JCVISYN3A_0692,rluC,Uncharacterized pseudouridine synthase,cytoplasmic,43.826,106.216,10.659906827418627,0.644,18.969,
JCVISYN3A_0693,,Uncharacterized protease,membrane,95.091,160.445,16.10238740055089,0.707,300.615,
JCVISYN3A_0694,ptsH,ptsH: Phosphocarrier protein,cytoplasmic,6155.1,3624.058,363.7138393149184,0.714,14560.59,14.792
JCVISYN3A_0695,pcrA,ATP-dependent DNA helicase,cytoplasmic,35.508,413.447,41.493968312576285,0.773,2283.075,
JCVISYN3A_0696,,Uncharacterized transporter,membrane,26.322,21.901,2.1980392543640863,0.647,1491.676,
JCVISYN3A_0697,,Uncharacterized glycosyl transferase,cytoplasmic,28.41,1230.838,123.52806948924255,0.726,5081.331,
JCVISYN3A_0706,thiP,Thiamine ABC transporter permease,membrane,66.387,4.958,0.4975549407559443,0.624,14963.907,
JCVISYN3A_0707,thiQ,Thiamine ABC transporter ATP-binding protein,cytoplasmic,170.601,481.731,48.34692563173602,0.607,4227.058,1.374
JCVISYN3A_0708,thiB,Thiamine ABC transporter substrate-binding protein,lipoprotein,322.108,1359.0,136.39050928900525,0.682,54605.067,
JCVISYN3A_0710,,Low specificity hydrolase ,cytoplasmic,92.553,360.51,36.18109711901156,0.744,11473.37,
JCVISYN3A_0726,nagB,Glucosamine-6-phosphate deaminase,cytoplasmic,5476.849,1241.34,124.58207326508185,0.73,10439.728,
JCVISYN3A_0727,tpiA,Triose-phosphate isomerase,cytoplasmic,1161.012,2626.334,263.5812618274528,0.757,3545.044,15.382
JCVISYN3A_0728,ycsE; YitU; ywtE,Low specificity hydrolase ,cytoplasmic,1061.16,1095.775,109.97296705326876,0.726,135.301,
JCVISYN3A_0729,pgm,"Phosphoglycerate mutase (2,3-diphosphoglycerate-independent)",cytoplasmic,1758.883,2061.564,206.90048537902277,0.769,25575.102,6.893
JCVISYN3A_0730,,Uncharacterized protein,cytoplasmic,11.335,39.62,3.976275069014052,0.668,56809.689,
JCVISYN3A_0732,deoC,Deoxyribose-phosphate aldolase,cytoplasmic,371.348,1205.051,120.9400755317976,0.794,1684.466,9.365
JCVISYN3A_0733,deoB,Phosphopentomutase,cytoplasmic,139.734,790.622,79.3476001513951,0.79,44775.202,9.439
JCVISYN3A_0747,punA,Purine-nucleoside phosphorylase,cytoplasmic,246.738,4566.14,458.2620275697577,0.786,19799.54,11.238
JCVISYN3A_0771,nrdE,Ribonucleotide-diphosphate reductase subunit alpha,cytoplasmic,251.747,2281.245,228.94784654314435,0.808,44775.202,47.314
JCVISYN3A_0772,nrdI,Ribonucleotide reductase assembly protein,cytoplasmic,414.67,682.743,68.52075218452684,0.783,2504.798,1.737
JCVISYN3A_0773,nrdF,Ribonucleoside-diphosphate reductase subunit beta,cytoplasmic,539.559,4576.68,459.31987662745456,0.746,40354.521,47.314
JCVISYN3A_0774,secG,Preprotein translocase subunit,membrane,147.682,11.278,1.1319127937047886,0.553,41268.896,
JCVISYN3A_0775,rnr,Ribonuclease R,cytoplasmic,51.068,502.669,50.44835672111524,0.758,4220.552,1.65
JCVISYN3A_0776,smpB,SsrA-binding protein,cytoplasmic,110.343,298.94,30.00185183526206,0.731,9025.137,
JCVISYN3A_0777,,Uncharacterized protein,membrane,68.752,515.606,51.74669596518898,0.725,4399.579,
JCVISYN3A_0778,,Uncharacterized protein,membrane,5985.024,408.138,40.96113546024567,0.574,1015.219,
JCVISYN3A_0779,ptsG,PTS sugar transporter,membrane,21339.287,7084.071,710.9638864176749,0.701,427.127,
JCVISYN3A_0787,mgtA,Magnesium-translocating P-type ATPase,membrane,220.875,733.006,73.56514810314094,0.729,6563.565,
JCVISYN3A_0789,atpC,F1 ATP synthase subunit epsilon,cytoplasmic,542.671,337.123,33.83402623659152,0.7,2512.991,
JCVISYN3A_0790,atpD,F1 ATP synthase subunit beta,cytoplasmic,2581.252,1569.568,157.52333979377238,0.757,14266.223,47.314
JCVISYN3A_0791,atpG,F1 ATP synthase subunit gamma,cytoplasmic,814.248,312.616,31.37446740625296,0.698,3590.282,47.314
JCVISYN3A_0792,atpA,F1 ATP synthase subunit alpha,cytoplasmic,2078.818,1723.836,173.0057903178796,0.79,38154.527,47.314
JCVISYN3A_0793,atpH,F1 ATP synthase subunit delta,cytoplasmic,345.865,418.802,42.03134011824802,0.675,5574.81,
JCVISYN3A_0794,atpF,F0 ATP synthase subunit B,membrane,715.404,801.43,80.43225340790396,0.779,1401.878,532.405
JCVISYN3A_0795,atpE,F0 ATP synthase subunit C,membrane,2461.864,,,0.689,95434.165,532.405
JCVISYN3A_0796,atpB,F0 ATP synthase subunit A,membrane,672.227,17.822,1.7886717912421597,0.664,61662.413,532.405
JCVISYN3A_0797,atpI,Uncharacterized protein/Chaperon for ATP Synthase C-ring formation,membrane,158.049,,,0.538,9259.138,
JCVISYN3A_0798,upp,Uracil phosphoribosyltransferase,cytoplasmic,1214.106,7972.686,800.1461647140012,0.734,53824.11,3.761
JCVISYN3A_0799,glyA,Serine hydroxymethyltransferase,cytoplasmic,474.407,1574.118,157.9799518926799,0.826,2607.027,17.188
JCVISYN3A_0800,rpiB,Ribose 5-phosphate isomerase B,cytoplasmic,427.698,698.314,70.08341485843924,0.696,112360.475,2.813
JCVISYN3A_0803,rpoC,DNA-directed RNA polymerase subunit beta',cytoplasmic,2395.95,2811.747,282.18950809834234,0.762,46530.901,4.21
JCVISYN3A_0804,rpoB,DNA-directed RNA polymerase subunit beta,cytoplasmic,1122.455,3085.549,309.66858989799,0.784,27662.673,4.689
JCVISYN3A_0805,-/fic,"Uncharacterized protein/Filamentation, Protein Adenylation",cytoplasmic,70.128,158.022,15.859234605560934,0.652,5821.316,
JCVISYN3A_0806,rplG,50S ribosomal protein L7/L12,cytoplasmic,4510.953,19779.678,1985.10674013798,0.869,56809.689,3.868
JCVISYN3A_0807,rplJ,50S ribosomal protein L10,cytoplasmic,3041.382,6465.664,648.8999914446464,0.704,31998.494,4.488
JCVISYN3A_0809,rplA,50S ribosomal protein L1,cytoplasmic,4613.279,9314.979,934.8599376895444,0.794,11353.57,4.275
JCVISYN3A_0810,rplK,50S ribosomal protein L11,cytoplasmic,4344.089,8994.066,902.6527507731474,0.705,4181.041,2.386
JCVISYN3A_0813,galE,UDP-glucose 4-epimerase GalE,cytoplasmic,134.797,2067.739,207.5202449378474,0.689,3064.688,7.398
JCVISYN3A_0814,glf,UDP-galactopyranose mutase,cytoplasmic,62.476,957.635,96.109089121087,0.736,11023.465,6.949
JCVISYN3A_0817,whiA/whiA,"Uncharacterized DNA-binding protein/Cell Division, Chromosome Segregation Regulation",cytoplasmic,118.068,177.602,17.824315138301458,0.733,13485.015,2.528
JCVISYN3A_0818,lgt,Diacylglyceryl transferase,membrane,595.631,580.182,58.227650267619694,0.755,160805.33,
JCVISYN3A_0819,trx,Thioredoxin-disulfide reductase,cytoplasmic,727.564,622.877,62.512525440855576,0.743,7099.317,6.065
JCVISYN3A_0820,lgt,Diacylglyceryl transferase,membrane,51.057,41.431,4.15801507887624,0.717,2410.733,
JCVISYN3A_0821,hpr; ptsH,HPr(Ser) kinase/phosphatase,cytoplasmic,52.823,647.48,64.98165640617017,0.708,2225.376,5.377
JCVISYN3A_0822,ecfS,ecsF / folate ,membrane,618.134,48.317,4.849124539993062,0.665,5288.718,
JCVISYN3A_0823,folC,Dihydrofolate synthase,cytoplasmic,109.123,72.072,7.233190163185861,0.719,547.777,
JCVISYN3A_0824,uvrA,Excinuclease ABC subunit A,cytoplasmic,315.914,512.974,51.48258619651488,0.75,22682.909,4.591
JCVISYN3A_0825,uvrB,Excinuclease ABC subunit B,cytoplasmic,70.816,149.045,14.958257202827228,0.752,12429.016,3.39
