locus_tag	gene_name	gene_product	chrom	start0	end0	strand	gene_len	ONT_sense_avg_depth	ONT_antisense_avg_depth	ONT_sense_TPM	ONT_antisense_TPM
JCVISYN3A_0399		Uncharacterized efflux ABC transporter permease	CP016816.2	240371	245633	+	5262	204.9580	2.2657	874.5781	9.6679
JCVISYN3A_0400		Uncharacterized protease	CP016816.2	245680	246232	+	552	363.7120	0.3678	1551.9985	1.5692
JCVISYN3A_0401		Uncharacterized peptidase	CP016816.2	246266	248114	+	1848	17.2413	1.5379	73.5707	6.5623
JCVISYN3A_0402	ybeY	rRNA maturation RNase	CP016816.2	248118	248613	+	495	33.1333	0.9212	141.3835	3.9309
JCVISYN3A_0403	era	Ribosome GTPase	CP016816.2	248616	249522	+	906	62.6645	0.4084	267.3961	1.7426
JCVISYN3A_0404	recO	DNA repair protein	CP016816.2	249521	250271	+	750	40.6453	0.1200	173.4381	0.5121
JCVISYN3A_0405	glyRS	Glycine--tRNA ligase	CP016816.2	250334	251705	+	1371	115.1327	1.2312	491.2840	5.2537
JCVISYN3A_0406	dnaG	DNA primase	CP016816.2	251739	253578	+	1839	65.8456	1.5275	280.9702	6.5178
JCVISYN3A_0407	rpoD	RNA polymerase subunit sigma	CP016816.2	253580	255101	+	1521	186.9921	0.4004	797.9157	1.7085
JCVISYN3A_0408	trmK%3B yqfN	Uncharacterized methyltransferase	CP016816.2	255100	255778	+	678	134.3805	0.8864	573.4164	3.7825
JCVISYN3A_0409		Uncharacterized protein	CP016816.2	255764	256541	+	777	32.1866	0.6062	137.3438	2.5866
JCVISYN3A_0410		Uncharacterized helicase	CP016816.2	256549	257911	+	1362	27.8664	0.9471	118.9088	4.0415
JCVISYN3A_0411		Uncharacterized protein	CP016816.2	257950	259465	+	1515	61.0007	2.2548	260.2965	9.6214
JCVISYN3A_0412		Uncharacterized protein	CP016816.2	259580	263735	+	4155	113.3288	1.3709	483.5862	5.8497
JCVISYN3A_0413	apt	Adenine phosphoribosyltransferase	CP016816.2	263746	264259	+	513	409.2710	3.8694	1746.4037	16.5111
JCVISYN3A_0414	relA	Guanosine-3'%2C5'-bis(diphosphate) 3'-pyrophosphohydrolase	CP016816.2	264341	266606	+	2265	276.8658	6.3762	1181.4164	27.2078
JCVISYN3A_0415	smc	Chromosome segregation protein	CP016816.2	266642	269609	-	2967	89.9714	6.4297	383.9176	27.4363
JCVISYN3A_0416		Uncharacterized protein	CP016816.2	269914	270304	-	390	229.1487	0.3410	977.8025	1.4552
JCVISYN3A_0418		Ribonuclease III	CP016816.2	270448	271147	-	699	166.5608	1.3562	710.7331	5.7872
JCVISYN3A_0419	plsX	Phosphate acyltransferase	CP016816.2	271136	272141	-	1005	136.8040	1.0995	583.7575	4.6917
JCVISYN3A_0420	fakA	Fatty acid kinase subunit A	CP016816.2	272173	273817	-	1644	330.0511	0.9045	1408.3640	3.8596
JCVISYN3A_0421		Uncharacterized protein	CP016816.2	273841	274153	-	312	410.3526	1.3205	1751.0191	5.6348
JCVISYN3A_0422	rpmB	50S ribosomal protein L28	CP016816.2	274321	274519	+	198	966.6515	0.9747	4124.8073	4.1594
JCVISYN3A_0423	tRNA-Leu		CP016816.2	274582	274667	+	85	513.6824	0.6588	2191.9385	2.8113
JCVISYN3A_0424		Uncharacterized protein	CP016816.2	274749	275193	+	444	12.9572	0.2095	55.2898	0.8938
JCVISYN3A_0425	pstS	Phosphate ABC transporter substrate-binding protein	CP016816.2	275281	276412	+	1131	67.5782	0.0813	288.3637	0.3471
JCVISYN3A_0426	pstA	Phosphate ABC transporter permease	CP016816.2	276463	278554	+	2091	34.3859	0.8876	146.7285	3.7875
JCVISYN3A_0427	pstB	Phosphate ABC transporter ATP-binding protein	CP016816.2	278546	279356	+	810	40.3926	0.4222	172.3596	1.8017
JCVISYN3A_0428	phoU	Phosphate transport system regulatory protein	CP016816.2	279364	280039	+	675	47.5126	0.1822	202.7414	0.7776
JCVISYN3A_0429	ftsY	Signal recognition particle-docking protein	CP016816.2	280105	281335	+	1230	84.0870	0.0228	358.8083	0.0971
JCVISYN3A_0430		Uncharacterized DNA-binding protein	CP016816.2	281318	281660	+	342	80.6930	0.0000	344.3257	0.0000
JCVISYN3A_0431		Uncharacterized metallophosphoesterase	CP016816.2	281647	282421	+	774	167.1473	0.6525	713.2357	2.7841
JCVISYN3A_0432	metK	Methionine adenosyltransferase	CP016816.2	282630	283794	+	1164	16.6512	0.0000	71.0525	0.0000
JCVISYN3A_0433	cutC	Uncharacterized protein	CP016816.2	283784	284468	+	684	86.4591	2.1827	368.9302	9.3140
JCVISYN3A_0434	rlmFO	23S rRNA (uridine(1939)-m5)-methyltransferase	CP016816.2	284460	285777	+	1317	36.5930	6.5475	156.1464	27.9387
JCVISYN3A_0435	manA	Mannose-6-phosphate isomerase	CP016816.2	285802	286732	+	930	42.5043	1.5441	181.3705	6.5888
JCVISYN3A_0437	yhaM	Putative 3'-5' exoribonuclease	CP016816.2	286804	287785	+	981	1939.4954	4.4506	8276.0381	18.9910
JCVISYN3A_0438	hinT	Uncharacterized protein	CP016816.2	287815	288214	-	399	573.5815	54.3133	2447.5345	231.7607
JCVISYN3A_0439		Uncharacterized lipoprotein	CP016816.2	288216	290373	-	2157	163.3000	5.7371	696.8187	24.4810
JCVISYN3A_0440		Uncharacterized lipoprotein	CP016816.2	290372	293309	-	2937	228.3037	3.5717	974.1968	15.2407
JCVISYN3A_0441	iscS	Cysteine desulfurase	CP016816.2	293511	294750	+	1239	95.5609	6.5295	407.7689	27.8619
JCVISYN3A_0442	iscU	Iron-sulfur cluster assembly scaffold protein	CP016816.2	294752	295190	+	438	30.2763	3.0411	129.1921	12.9767
JCVISYN3A_0443	yggN	5-Formyltetrahydrofolate cyclo-ligase	CP016816.2	295182	295746	+	564	20.0018	0.6294	85.3497	2.6859
JCVISYN3A_0444		Uncharacterized peptidase	CP016816.2	295766	297662	+	1896	33.1988	0.6213	141.6631	2.6512
JCVISYN3A_0445	pgi	Glucose-6-phosphate isomerase	CP016816.2	297881	299165	+	1284	316.7734	0.8707	1351.7064	3.7154
JCVISYN3A_0447	dut	dUTP diphosphatase	CP016816.2	299197	299701	+	504	2049.7440	2.0397	8746.4810	8.7035
JCVISYN3A_0448		Uncharacterized rRNA methyltransferase	CP016816.2	299717	300485	+	768	3109.5482	2.5911	13268.7806	11.0567
JCVISYN3A_0451	gapdh	Glyceraldehyde-3-phosphate dehydrogenase	CP016816.2	300655	302071	+	1416	461.8771	0.3722	1970.8800	1.5881
JCVISYN3A_0452	parE	DNA topoisomerase IV subunit B	CP016816.2	302257	304189	+	1932	76.5549	3.1020	326.6679	13.2364
JCVISYN3A_0453	parC	DNA topoisomerase IV subunit A	CP016816.2	304190	306887	+	2697	78.9106	2.9592	336.7203	12.6273
JCVISYN3A_0475	ldh	L-lactate dehydrogenase	CP016816.2	307122	308079	-	957	3193.3114	1.8109	13626.2074	7.7272
JCVISYN3A_0478		Uncharacterized protein	CP016816.2	308181	308766	-	585	47.9333	7.3402	204.5368	31.3213
JCVISYN3A_0479		Uncharacterized peptidase	CP016816.2	308770	310417	-	1647	46.0383	18.6157	196.4502	79.4351
JCVISYN3A_0481		Uncharacterized lipoprotein	CP016816.2	310639	311077	-	438	66.6119	28.7717	284.2401	122.7719
JCVISYN3A_0482	rpsU	30S ribosomal protein S21	CP016816.2	311390	311555	+	165	769.1152	14.0303	3281.8981	59.8688
JCVISYN3A_0154		Uncharacterized peptidase	CP016816.2	311815	313171	+	1356	676.8805	39.0147	2888.3229	166.4802
JCVISYN3A_0493		Uncharacterized peptidase	CP016816.2	313334	314684	-	1350	518.8252	1.3519	2213.8836	5.7685
JCVISYN3A_0494	nanE	N-acetylmannosamine-6-phosphate 2-epimerase	CP016816.2	314839	315520	-	681	65.7768	2.1601	280.6768	9.2172
JCVISYN3A_0495		Uncharacterized kinase	CP016816.2	315578	316454	-	876	318.5445	0.6050	1359.2642	2.5817
JCVISYN3A_0499	rpmA	50S ribosomal protein L27	CP016816.2	316628	316910	-	282	1143.0142	0.0000	4877.3660	0.0000
JCVISYN3A_0500	prp%3BysxB	Maturation protease for ribosomal protein L27	CP016816.2	316911	317226	-	315	1727.5810	0.4381	7371.7760	1.8694
JCVISYN3A_0501	rplU	50S ribosomal protein L21	CP016816.2	317228	317531	-	303	743.7822	0.5611	3173.7995	2.3941
JCVISYN3A_0503		Uncharacterized protein	CP016816.2	317676	318078	-	402	93.2886	0.0746	398.0724	0.3184
JCVISYN3A_0504	rsmI	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	CP016816.2	318100	318988	-	888	250.4899	1.3446	1068.8675	5.7375
JCVISYN3A_0930	rpmG	50S ribosomal protein L33	CP016816.2	319047	319191	-	144	415.3750	0.0625	1772.4504	0.2667
JCVISYN3A_0505		Uncharacterized lipoprotein	CP016816.2	319363	320437	+	1074	285.7784	0.7868	1219.4475	3.3573
JCVISYN3A_0506	tRNA-Leu		CP016816.2	320529	320618	-	89	539.3146	9.4719	2301.3141	40.4177
JCVISYN3A_0507	tRNA-Lys		CP016816.2	320628	320704	-	76	729.1053	12.6579	3111.1715	54.0126
JCVISYN3A_0508	tRNA-Gln		CP016816.2	320708	320783	-	75	864.2533	9.1067	3687.8631	38.8591
JCVISYN3A_0509	tRNA-Tyr		CP016816.2	320789	320873	-	84	609.8929	4.5595	2602.4792	19.4560
JCVISYN3A_0510	tRNA-Thr		CP016816.2	320879	320955	-	76	199.4474	3.9605	851.0636	16.9000
JCVISYN3A_0511		Uncharacterized protein	CP016816.2	321081	321705	-	624	535.5689	8.2612	2285.3309	35.2515
JCVISYN3A_0512	plsC	Acyl-phosphate glycerol 3-phosphate acyltransferase	CP016816.2	321753	322701	-	948	176.8333	3.2268	754.5671	13.7691
JCVISYN3A_0513	acpS	ACP synthase	CP016816.2	322857	323190	-	333	114.9730	0.8979	490.6022	3.8314
JCVISYN3A_0515	dctD	Cytidine deaminase	CP016816.2	323249	323732	-	483	189.6294	0.0000	809.1693	0.0000
JCVISYN3A_0516		Uncharacterized protein	CP016816.2	323734	325036	-	1302	191.4731	0.6190	817.0366	2.6415
JCVISYN3A_0517	rluD	Uncharacterized RNA pseudouridine synthase	CP016816.2	325028	325961	-	933	81.8135	2.2347	349.1071	9.5358
JCVISYN3A_0518	lspA	Lipoprotein signal peptidase	CP016816.2	325941	326550	-	609	54.4860	0.7603	232.4979	3.2441
JCVISYN3A_0519	ileRS	Isoleucine--tRNA ligase	CP016816.2	326540	329288	-	2748	20.3828	2.9148	86.9757	12.4380
JCVISYN3A_0520		Uncharacterized hydrolase	CP016816.2	329980	330970	-	990	546.5970	0.9081	2332.3888	3.8749
JCVISYN3A_0521	sepF	Cell division protein	CP016816.2	330982	331399	-	417	475.7074	2.4029	2029.8954	10.2533
JCVISYN3A_0522	ftsZ	Cell division protein	CP016816.2	331410	332568	-	1158	413.7789	7.8921	1765.6397	33.6763
JCVISYN3A_0523	ftsA	Cell division protein	CP016816.2	332682	333843	-	1161	61.9199	1.1008	264.2189	4.6971
JCVISYN3A_0524	rsmH%3B mraW	16S rRNA (cytosine(1402)-N(4))-methyltransferase	CP016816.2	333851	334778	-	927	168.0140	1.1715	716.9341	4.9990
JCVISYN3A_0525	mraZ	Cell division/cell wall cluster transcriptional repressor	CP016816.2	334786	335188	-	402	350.9353	0.8209	1497.4792	3.5029
JCVISYN3A_0526	rpmF	50S ribosomal protein L32	CP016816.2	335294	335474	-	180	1747.2000	0.0000	7455.4926	0.0000
JCVISYN3A_0527		Uncharacterized protein	CP016816.2	335488	336007	-	519	777.8343	0.0000	3319.1036	0.0000
JCVISYN3A_0528	pheRS	Phenylalanine--tRNA ligase subunit beta	CP016816.2	336006	338391	-	2385	270.2658	1.0939	1153.2537	4.6679
JCVISYN3A_0529	pheS	Phenylalanine--tRNA ligase subunit alpha	CP016816.2	338399	339452	-	1053	765.4815	1.0323	3266.3928	4.4049
JCVISYN3A_0530		Uncharacterized protein	CP016816.2	339481	340090	-	609	360.4844	0.7800	1538.2262	3.3282
JCVISYN3A_0532	rrfB		CP016816.2	340213	340322	-	109	43.2018	0.8073	184.3469	3.4450
JCVISYN3A_0533	rrlB		CP016816.2	340383	343297	-	2914	91.1177	1.0659	388.8092	4.5483
JCVISYN3A_0534	rrsB		CP016816.2	343516	345051	-	1535	59.4326	0.2749	253.6053	1.1731
JCVISYN3A_0535	argRS	Arginine--tRNA ligase	CP016816.2	345257	346922	-	1665	128.9081	0.3646	550.0649	1.5556
JCVISYN3A_0536	frr	Ribosome recycling factor	CP016816.2	346923	347472	-	549	80.8415	0.0073	344.9596	0.0311
JCVISYN3A_0537	pyrH	UMP kinase	CP016816.2	347482	348196	-	714	60.8473	1.3571	259.6422	5.7911
JCVISYN3A_0538		Uncharacterized protein	CP016816.2	348329	348935	-	606	615.2442	1.4076	2625.3141	6.0063
JCVISYN3A_0539	tsf	Translation elongation factor Ts	CP016816.2	348934	349822	-	888	432.7691	1.3232	1846.6731	5.6462
JCVISYN3A_0540	rpsB	30S ribosomal protein S2	CP016816.2	349833	350712	-	879	241.1069	0.0000	1028.8296	0.0000
JCVISYN3A_0541	dnaJ	Molecular chaperone	CP016816.2	350919	352038	-	1119	250.3753	0.2029	1068.3788	0.8656
JCVISYN3A_0542	dnaK	Molecular chaperone	CP016816.2	352101	353877	-	1776	232.7072	0.4904	992.9870	2.0927
JCVISYN3A_0543	grpE	Nucleotide exchange factor	CP016816.2	353935	354538	-	603	307.1244	0.0000	1310.5332	0.0000
JCVISYN3A_0544	hrcA	Heat-inducible transcription repressor	CP016816.2	354539	355562	-	1023	388.7947	0.0215	1659.0294	0.0918
JCVISYN3A_0545	clpB	ATP-dependent Clp protease subunit B	CP016816.2	355566	357708	-	2142	790.3847	0.0000	3372.6575	0.0000
JCVISYN3A_0548		tRNA (cytidine(34)-2'-O)-methyltransferase	CP016816.2	358735	359281	-	546	299.1026	1.5806	1276.3032	6.7445
JCVISYN3A_0549	rgdB	Non-canonical purine NTP pyrophosphatase	CP016816.2	359293	359896	-	603	184.5572	2.2239	787.5257	9.4895
JCVISYN3A_0931	met14p	Adenylyl-sulfate kinase	CP016816.2	360402	361011	+	609	249.8194	107.0328	1066.0065	456.7208
JCVISYN3A_0592		Uncharacterized protein	CP016816.2	361574	362774	-	1200	37.4758	38.8317	159.9135	165.6989
JCVISYN3A_0593		Uncharacterized protein	CP016816.2	363270	363549	-	279	8.7957	158.8029	37.5322	677.6291
JCVISYN3A_0599		Uncharacterized protein	CP016816.2	363817	363958	-	141	222.6596	18.9504	950.1126	80.8632
JCVISYN3A_0600	rnjA	Ribonuclease J	CP016816.2	364771	366604	+	1833	97.3857	2.4424	415.5554	10.4222
JCVISYN3A_0601		Uncharacterized protein	CP016816.2	366678	367623	+	945	669.8804	0.8751	2858.4527	3.7343
JCVISYN3A_0604		Uncharacterized protein	CP016816.2	369519	370188	+	669	158.2212	5.2526	675.1472	22.4135
JCVISYN3A_0605		Uncharacterized protein	CP016816.2	370370	370679	+	309	25.2136	3.6764	107.5891	15.6875
JCVISYN3A_0606	pgk	Phosphoglycerate kinase	CP016816.2	370945	372160	-	1215	830.1432	0.1160	3542.3115	0.4952
JCVISYN3A_0607	gapDH	Type I glyceraldehyde-3-phosphate dehydrogenase	CP016816.2	372271	373288	-	1017	2944.0256	0.0000	12562.4776	0.0000
JCVISYN3A_0608	dnaI	Primosomal protein	CP016816.2	373388	374327	-	939	52.4271	0.9286	223.7119	3.9626
JCVISYN3A_0609	dnaB	Chromosome replication initiation protein	CP016816.2	374336	375521	-	1185	62.7603	0.8970	267.8052	3.8278
JCVISYN3A_0610	mutM	DNA-formamidopyrimidine glycosylase	CP016816.2	375677	376502	-	825	39.4473	1.0182	168.3258	4.3447
JCVISYN3A_0611	polA	DNA polymerase I	CP016816.2	376512	379248	-	2736	41.2222	1.7719	175.8997	7.5610
JCVISYN3A_0612	dnaE	DNA polymerase III subunit alpha	CP016816.2	379256	382220	-	2964	31.1204	1.6171	132.7943	6.9002
JCVISYN3A_0613	tyrRS	Tyrosine--tRNA ligase	CP016816.2	382414	383659	-	1245	139.3382	0.8691	594.5711	3.7084
JCVISYN3A_0614	pncB	Nicotinate phosphoribosyltransferase	CP016816.2	383667	384729	-	1062	138.1657	0.6620	589.5682	2.8246
JCVISYN3A_0615		Uncharacterized protein	CP016816.2	384706	385315	-	609	146.1215	3.8654	623.5164	16.4939
JCVISYN3A_0616	fakB	Fatty acid binding protein	CP016816.2	385389	386229	+	840	290.9833	1.0238	1241.6576	4.3687
JCVISYN3A_0617	fakB	Fatty acid binding protein	CP016816.2	386239	387091	+	852	296.1373	0.0716	1263.6502	0.3055
JCVISYN3A_0618	tRNA-Trp		CP016816.2	387126	387201	-	75	18.3467	54.0000	78.2872	230.4239
JCVISYN3A_0619	tRNA-Trp		CP016816.2	387238	387314	-	76	140.7500	50.4605	600.5956	215.3206
JCVISYN3A_0620		Uncharacterized transcriptional regulator	CP016816.2	387389	387854	-	465	176.8194	62.0301	754.5074	264.6892
JCVISYN3A_0621	acpA	Acyl carrier protein	CP016816.2	387854	388076	-	222	160.4910	32.9550	684.8325	140.6224
JCVISYN3A_0622		Uncharacterized lipoprotein	CP016816.2	388099	388462	-	363	8.0689	14.9118	34.4307	63.6305
JCVISYN3A_0623		Uncharacterized protein	CP016816.2	388448	389519	-	1071	2.1886	11.4379	9.3390	48.8068
JCVISYN3A_0624	tRNA-His		CP016816.2	389619	389695	-	76	1.4868	2.8553	6.3445	12.1837
JCVISYN3A_0634	leuRS	Leucine--tRNA ligase	CP016816.2	389881	392296	-	2415	89.2501	4.3308	380.8399	18.4802
JCVISYN3A_0635	tRNA-Ile		CP016816.2	392433	392510	-	77	26.5974	3.7792	113.4940	16.1263
JCVISYN3A_0636		Uncharacterized lipoprotein	CP016816.2	392582	395372	-	2790	96.1771	2.4731	410.3980	10.5531
JCVISYN3A_0637	rpsI	30S ribosomal protein S9	CP016816.2	395530	395929	-	399	3545.2882	0.1053	15128.1308	0.4492
JCVISYN3A_0638	rplM	50S ribosomal protein L13	CP016816.2	395928	396384	-	456	1585.8575	1.0724	6767.0264	4.5759
JCVISYN3A_0639		Uncharacterized efflux ABC transporter permease	CP016816.2	396513	400659	-	4146	73.3632	2.1992	313.0489	9.3843
JCVISYN3A_0640	truA	tRNA pseudouridine(38-40) synthase	CP016816.2	400753	401509	-	756	133.5608	0.8042	569.9187	3.4317
JCVISYN3A_0641	ecfT	ECF transporter T component	CP016816.2	401511	402522	-	1011	166.7577	1.3403	711.5731	5.7190
JCVISYN3A_0642	ecfA	ECF transporter ATPase	CP016816.2	402535	403447	-	912	111.6349	0.5252	476.3581	2.2412
JCVISYN3A_0643	ecfA	ECF transporter ATPase	CP016816.2	403434	404661	-	1227	222.4181	0.2665	949.0822	1.1372
JCVISYN3A_0644	rplQ	50S ribosomal protein L17	CP016816.2	404768	405128	-	360	827.2694	1.7278	3530.0488	7.3726
JCVISYN3A_0645	rpoA	DNA-directed RNA polymerase subunit alpha	CP016816.2	405147	406101	-	954	387.2086	0.2935	1652.2612	1.2524
JCVISYN3A_0646	rpsK	30S ribosomal protein S11	CP016816.2	406104	406494	-	390	54.3103	0.0000	231.7478	0.0000
JCVISYN3A_0647	rpsM	30S ribosomal protein S13	CP016816.2	406519	406885	-	366	114.6366	0.0000	489.1669	0.0000
JCVISYN3A_0648	rpmJ	50S ribosomal protein L36	CP016816.2	406921	407035	-	114	153.2982	0.0000	654.1403	0.0000
JCVISYN3A_0649	infA	Translation initiation factor IF-1	CP016816.2	407103	407328	-	225	373.8800	0.6089	1595.3867	2.5982
JCVISYN3A_0650	map	Type I methionyl aminopeptidase	CP016816.2	407339	408095	-	756	805.6852	1.4352	3437.9464	6.1241
JCVISYN3A_0651	adk	Adenylate kinase	CP016816.2	408094	408736	-	642	161.6184	3.0047	689.6432	12.8213
JCVISYN3A_0652	secY	Preprotein translocase subunit	CP016816.2	408863	410312	-	1449	641.9986	0.8585	2739.4780	3.6634
JCVISYN3A_0653	rplO	50S ribosomal protein L15	CP016816.2	410311	410749	-	438	232.2603	0.0000	991.0799	0.0000
JCVISYN3A_0654	rpsE	30S ribosomal protein S5	CP016816.2	410767	411532	-	765	186.8209	0.1542	797.1852	0.6582
JCVISYN3A_0655	rplR	50S ribosomal protein L18	CP016816.2	411550	411901	-	351	187.0570	1.5584	798.1925	6.6499
JCVISYN3A_0656	rplF	50S ribosomal protein L6	CP016816.2	411926	412469	-	543	107.7293	0.0976	459.6926	0.4165
JCVISYN3A_0657	rpsH	30S ribosomal protein S8	CP016816.2	412482	412872	-	390	151.2385	0.0000	645.3510	0.0000
JCVISYN3A_0658	rpsN	30S ribosomal protein S14	CP016816.2	412891	413077	-	186	135.5376	0.0000	578.3538	0.0000
JCVISYN3A_0659	rplE	50S ribosomal protein L5	CP016816.2	413095	413638	-	543	175.6335	0.0000	749.4473	0.0000
JCVISYN3A_0660	rplX	50S ribosomal protein L24	CP016816.2	413656	413983	-	327	99.1804	0.0000	423.2137	0.0000
JCVISYN3A_0661	rplN	50S ribosomal protein L14	CP016816.2	413996	414365	-	369	100.1030	0.0000	427.1503	0.0000
JCVISYN3A_0662	rpsQ	30S ribosomal protein S17	CP016816.2	414380	414641	-	261	98.6590	0.0000	420.9887	0.0000
JCVISYN3A_0663	rpmC	50S ribosomal protein L29	CP016816.2	414637	415054	-	417	82.6954	0.0000	352.8705	0.0000
JCVISYN3A_0664	rplP	50S ribosomal protein L16	CP016816.2	415053	415467	-	414	214.2947	0.0000	914.4188	0.0000
JCVISYN3A_0665	rpsC	30S ribosomal protein S3	CP016816.2	415469	416171	-	702	93.5484	0.0000	399.1813	0.0000
JCVISYN3A_0666	rplV	50S ribosomal protein L22	CP016816.2	416188	416524	-	336	264.7619	0.0000	1129.7679	0.0000
JCVISYN3A_0667	rpsS	30S ribosomal protein S19	CP016816.2	416547	416814	-	267	102.9288	0.0150	439.2086	0.0639
JCVISYN3A_0668	rplB	50S ribosomal protein L2	CP016816.2	416835	417684	-	849	61.1413	0.0412	260.8968	0.1759
JCVISYN3A_0669	rplW	50S ribosomal protein L23	CP016816.2	417738	418023	-	285	116.5018	0.0000	497.1257	0.0000
JCVISYN3A_0670	rplD	50S ribosomal protein L4	CP016816.2	418022	418649	-	627	121.6156	0.2041	518.9471	0.8711
JCVISYN3A_0671	rplC	50S ribosomal protein L3	CP016816.2	418661	419333	-	672	251.7440	0.0000	1074.2193	0.0000
JCVISYN3A_0672	rpsJ	30S ribosomal protein S10	CP016816.2	419408	419717	-	309	450.7896	0.4757	1923.5685	2.0300
JCVISYN3A_0678	tRNA-Thr		CP016816.2	420559	420635	-	76	1071.8684	26.9605	4573.7793	115.0435
JCVISYN3A_0679	tRNA-Val		CP016816.2	420647	420723	-	76	313.4211	24.0000	1337.4018	102.4106
JCVISYN3A_0680	tRNA-Glu		CP016816.2	420730	420806	-	76	186.5395	16.1316	795.9842	68.8352
JCVISYN3A_0681	tRNA-Asn		CP016816.2	420813	420889	-	76	247.4868	9.5395	1056.0533	40.7060
JCVISYN3A_0684	folD	Bifunctional 5%2C10-methylene-tetrahydrofolate dehydrogenase/5%2C10-methylene-tetrahydrofolate cyclohydrolase	CP016816.2	420990	421857	-	867	158.9077	2.9458	678.0766	12.5700
JCVISYN3A_0685	natA	Sodium transporter	CP016816.2	421865	423467	-	1602	128.3770	2.8596	547.7988	12.2020
JCVISYN3A_0686	trkA	Potassium transporter	CP016816.2	423545	424274	+	729	524.0137	4.2099	2236.0236	17.9640
JCVISYN3A_0687	gatB	Glutamyl-tRNA amidotransferase subunit B	CP016816.2	424300	425740	-	1440	196.9465	16.0757	840.3923	68.5967
JCVISYN3A_0688	gatA	Glutamyl-tRNA amidotransferase subunit A	CP016816.2	425741	427199	-	1458	61.8436	1.8210	263.8935	7.7704
JCVISYN3A_0689	gatC	Glutamyl-tRNA amidotransferase subunit C	CP016816.2	427198	427495	-	297	55.0034	0.1684	234.7054	0.7184
JCVISYN3A_0690	ligA	DNA ligase (NAD(+))	CP016816.2	427496	429503	-	2007	67.6507	0.4599	288.6730	1.9624
JCVISYN3A_0691		Uncharacterized protein	CP016816.2	429506	431528	-	2022	60.0049	1.4214	256.0476	6.0651
JCVISYN3A_0692		Uncharacterized pseudouridine synthase	CP016816.2	431530	432439	-	909	93.1012	1.6128	397.2730	6.8818
JCVISYN3A_0693		Uncharacterized protease	CP016816.2	432441	433410	-	969	252.8380	2.4149	1078.8872	10.3045
JCVISYN3A_0694	ptsH	Phosphocarrier protein	CP016816.2	433465	433735	-	270	912.7593	1.1778	3894.8431	5.0257
JCVISYN3A_0695	pcrA	ATP-dependent DNA helicase	CP016816.2	433799	435968	-	2169	61.5376	2.0848	262.5875	8.8962
JCVISYN3A_0696		Uncharacterized transporter	CP016816.2	435984	436740	-	756	27.3743	2.3452	116.8093	10.0074
JCVISYN3A_0697		Uncharacterized glycosyl transferase	CP016816.2	436739	437696	-	957	130.6917	2.4431	557.6759	10.4248
JCVISYN3A_0706	thiB	Thiamine ABC transporter permease	CP016816.2	438117	439866	-	1749	50.8548	5.8639	217.0029	25.0220
JCVISYN3A_0707	thiQ	Thiamine ABC transporter ATP-binding protein	CP016816.2	439829	440579	-	750	48.0613	2.0733	205.0829	8.8471
JCVISYN3A_0708	thiB	Thiamine ABC transporter substrate-binding protein	CP016816.2	440592	442056	-	1464	61.1346	1.0143	260.8678	4.3283
JCVISYN3A_0710		Uncharacterized hydrolase	CP016816.2	442278	443142	-	864	116.7766	8.8391	498.2986	37.7175
JCVISYN3A_0717	tRNA-Arg		CP016816.2	443478	443555	+	77	166.2338	0.0000	709.3376	0.0000
JCVISYN3A_0718	tRNA-Pro		CP016816.2	443602	443679	+	77	365.8052	0.0000	1560.9306	0.0000
JCVISYN3A_0719	tRNA-Ala		CP016816.2	443689	443765	+	76	534.5000	0.0000	2280.7697	0.0000
JCVISYN3A_0720	tRNA-Met		CP016816.2	443769	443846	+	77	649.9610	0.0000	2773.4545	0.0000
JCVISYN3A_0721	tRNA-Met		CP016816.2	443857	443934	+	77	801.6364	0.0000	3420.6696	0.0000
JCVISYN3A_0722	tRNA-Ser		CP016816.2	443976	444069	+	93	876.0968	0.0000	3738.4003	0.0000
JCVISYN3A_0723	tRNA-Met		CP016816.2	444091	444167	+	76	859.3026	0.0000	3666.7379	0.0000
JCVISYN3A_0724	tRNA-Asp		CP016816.2	444169	444246	+	77	820.3117	0.0000	3500.3593	0.0000
JCVISYN3A_0725	tRNA-Phe		CP016816.2	444254	444330	+	76	1629.0000	0.0000	6951.1204	0.0000
JCVISYN3A_0726	nagB	Glucosamine-6-phosphate deaminase	CP016816.2	444437	445172	+	735	8082.5265	1.5020	34489.0207	6.4094
JCVISYN3A_0727	tpiA	Triose-phosphate isomerase	CP016816.2	445269	446016	+	747	171.6734	0.0455	732.5489	0.1942
JCVISYN3A_0728		Uncharacterized hydrolase	CP016816.2	446008	446845	+	837	167.7276	0.1947	715.7119	0.8310
JCVISYN3A_0729	pgm	Phosphoglycerate mutase (2%2C3-diphosphoglycerate-independent)	CP016816.2	446847	448443	+	1596	347.7569	0.1535	1483.9165	0.6550
JCVISYN3A_0730		Uncharacterized protein	CP016816.2	448542	449142	+	600	93.1117	28.9400	397.3176	123.4901
JCVISYN3A_0732	deoC	Deoxyribose-phosphate aldolase	CP016816.2	449194	449863	-	669	432.2631	5.0105	1844.5136	21.3802
JCVISYN3A_0733	deoB	Phosphopentomutase	CP016816.2	449874	451551	-	1677	222.0602	1.6476	947.5552	7.0304
JCVISYN3A_0747	punA	Purine-nucleoside phosphorylase	CP016816.2	451914	452568	+	654	912.0994	0.1086	3892.0274	0.4632
