"Locus Tag"	"Gene Name"	"Gene Product"	"Protein Length"	"Exp. Ptn Cnt"	"Essentiality"	"Primary Function"	"Secondary Function"	"Tertiary Function"	"Localization"	"Sim. Initial Ptn Cnt"	"Review Flag"	"Mismatch Solved"
"JCVISYN3A_0304"	"cdsA"	"Phosphatidate cytidylyltransferase"	342	1	"Essential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"trans-membrane"	40		
"JCVISYN3A_0305"	"pepP"	"Prolidase "	358	413	"Quasiessential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"Peptidases"	"cytoplasm"	413	"AI"	
"JCVISYN3A_0308"	"trpRS"	"Tryptophan--tRNA ligase"	336	27	"Essential"	"Metabolism"	"Translation"	"tRNA loading"	"cytoplasm"	30	"PRIMARY_MISMATCH"	
"JCVISYN3A_0314"	"ecfS"	"Uncharacterized ECF transporter S component"	244	150	"Essential"	"Metabolism"	"Membrane Transport"	"Cofactor"	"trans-membrane"	150		
"JCVISYN3A_0315"	"-/ynzC-like"	"Uncharacterized protein/DNA Damage Control"	50	6	"Quasiessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	10	"AI"	
"JCVISYN3A_0316"	"tkt"	"Transketolase"	656	148	"Quasiessential"	"Metabolism"	"Central Carbon Metabolism"	"Pentose phosphate metabolism"	"cytoplasm"	148		
"JCVISYN3A_0317"		"Uncharacterized protein"	81	19	"Essential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	19	"AI"	
"JCVISYN3A_0325"		"Uncharacterized protein"	499	10	"Essential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	10	"AI"	
"JCVISYN3A_0326"		"Uncharacterized protein"	253	35	"Nonessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	35	"AI"	
"JCVISYN3A_0327"	"scpA"	"Chromosome segregation protein A"	278	1	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"Chromosome-related"	"cytoplasm"	10		
"JCVISYN3A_0328"	"scpB"	"Chromosome segregation protein B"	209	31	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"Chromosome-related"	"cytoplasm"	31		
"JCVISYN3A_0329"	"rluB"	"Uncharacterized pseudouridine synthase"	252	109	"Quasiessential"	"Genetic Information Processing"	"Kegg ortholog defined"	"General function prediction only"	"cytoplasm"	109	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0330"	"dgk"	"Deoxyguanosine kinase"	205	63	"Nonessential"	"Metabolism"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	63		
"JCVISYN3A_0332"		"Uncharacterized protein"	275	31	"Quasiessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	31	"AI"	
"JCVISYN3A_0338"		"Uncharacterized lipoprotein"	239	109	"Essential"	"Unclear"	"Kegg ortholog defined"	"General function prediction only"	"lipoprotein"	109	"AI"	
"JCVISYN3A_0344"	"ppa"	"Inorganic diphosphatase"	186	190	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	190		
"JCVISYN3A_0345"	"ecfS"	"Uncharacterized ECF transporter S component"	296	10	"Essential"	"Metabolism"	"Membrane Transport"	"Cofactor"	"trans-membrane"	10		
"JCVISYN3A_0346"		"Uncharacterized protein"	231	34	"Nonessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	34	"AI"	
"JCVISYN3A_0347"	"cmk"	"Cytidylate kinase"	220	66	"Quasiessential"	"Metabolism"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	66		
"JCVISYN3A_0348"	"engA"	"Ribosome biogenesis GTPase"	435	34	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	34	"AI"	
"JCVISYN3A_0350"	"hupA"	"DNA-binding protein"	90	28	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"Chromosome-related"	"cytoplasm"	28	"AI"	
"JCVISYN3A_0352"	"-/dnaD-like"	"Uncharacterized protein/DNA Replication Machinery"	182	11	"Essential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	11	"AI"	
"JCVISYN3A_0353"	"gpsB"	"Cell division DivIVA/GpsB protein "	125	69	"Quasiessential"	"Cellular Processes"	"Cell Growth"	"Cell division"	"cytoplasm"	69	"AI"	
"JCVISYN3A_0359"	"rny"	"Ribonuclease Y"	509	206	"Essential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"RNA degradation"	"trans-membrane"	206		
"JCVISYN3A_0360"	"ffh"	"Signal recognition particle protein"	447	365	"Essential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"Protein export"	"peripheral membrane"	365	"AI"	
"JCVISYN3A_0361"	"rlmH"	"23S rRNA (pseudouridine(1915)-N3)-methyltransferase"	155	123	"Nonessential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	123	"AI"	
"JCVISYN3A_0362"	"rpsP"	"30S ribosomal protein S16"	92	225	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	225		
"JCVISYN3A_0363"	"rimM"	"16S rRNA processing protein"	164	5	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	10	"AI"	
"JCVISYN3A_0364"	"trmD"	"tRNA (guanosine(37)-N1)-methyltransferase"	240	25	"Essential"	"Genetic Information Processing"	"Translation"	"tRNA biogenesis"	"cytoplasm"	25	"AI"	
"JCVISYN3A_0365"	"rplS"	"50S ribosomal protein L19"	127	204	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	204		
"JCVISYN3A_0366"	"ylqF; rbgA"	"L16-binding dependent 50S subunit-maturation GTPase"	316	146	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	146	"AI"	
"JCVISYN3A_0371"	"ywjA"	"Flippase A"	623	175	"Essential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"trans-membrane"	175	"AI"	
"JCVISYN3A_0372"	"ywjA"	"Flippase B"	617	65	"Essential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"trans-membrane"	65	"AI"	
"JCVISYN3A_0373"		"Uncharacterized protein"	535	48	"Essential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	48	"AI"	
"JCVISYN3A_0375"		"Uncharacterized protein"	246	53	"Nonessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	53	"AI"	
"JCVISYN3A_0376"		"Uncharacterized protein"	114	8	"Quasiessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	10	"AI"	
"JCVISYN3A_0377"	"obgE"	"Ribosome GTPase"	433	150	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	150	"AI"	
"JCVISYN3A_0378"	"nadE"	"NAD(+) synthase"	245	251	"Essential"	"Metabolism"	"Biosynthesis"	"Cofactor biosynthesis"	"cytoplasm"	251		
"JCVISYN3A_0379"		"Uncharacterized protein"	92	"-"	"Essential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	10	"AI"	
"JCVISYN3A_0380"	"nadD"	"Nicotinate (nicotinamide) nucleotide adenylyltransferase"	365	65	"Essential"	"Metabolism"	"Biosynthesis"	"Cofactor biosynthesis"	"cytoplasm"	65		
"JCVISYN3A_0381"	"mtnN"	"5'-Methylthioadenosine nucleosidase"	219	15	"Nonessential"	"Metabolism"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	15	"AI"	
"JCVISYN3A_0382"	"dnk"	"Deoxynucleoside kinase"	212	23	"Nonessential"	"Metabolism"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	23		
"JCVISYN3A_0387"	"mnmA"	"tRNA 2-thiouridine(34) synthase"	375	72	"Essential"	"Genetic Information Processing"	"Translation"	"tRNA biogenesis"	"cytoplasm"	72	"AI"	
"JCVISYN3A_0388"		"Uncharacterized protein"	205	86	"Essential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	86	"AI"	
"JCVISYN3A_0389"		"Uncharacterized protein"	714	74	"Quasiessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	74	"AI"	
"JCVISYN3A_0390"	"fmt"	"Methionyl-tRNA formyltransferase"	317	128	"Quasiessential"	"Genetic Information Processing"	"Biosynthesis"	"Cofactor biosynthesis"	"cytoplasm"	128	"PRIMARY_MISMATCH"	
"JCVISYN3A_0391"	"efp"	"Elongation factor P"	184	115	"Quasiessential"	"Genetic Information Processing"	"Translation"	"Translation factors"	"cytoplasm"	115	"AI"	
"JCVISYN3A_0392"		"Uncharacterized protein"	100	98	"Quasiessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"unidentified"	98	"AI"	
"JCVISYN3A_0394"	"lon"	"Endopeptidase La"	786	757	"Quasiessential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"Peptidases"	"cytoplasm"	757	"AI"	
"JCVISYN3A_0398"		"Uncharacterized lipoprotein"	820	"-"	"Quasiessential"	"Unclear"	"Kegg ortholog defined"	"General function prediction only"	"lipoprotein"	10	"AI"	
"JCVISYN3A_0399"		"Uncharacterized efflux ABC transporter permease"	1753	59	"Quasiessential"	"Metabolism"	"Membrane Transport"	"Drug resistance"	"trans-membrane"	59	"AI"	
"JCVISYN3A_0400"	"thiJ/thiJ-like"	"Uncharacterized protease/Protein deglycase"	183	40	"Quasiessential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"Peptidases"	"cytoplasm"	40	"AI"	
"JCVISYN3A_0401"		"Uncharacterized peptidase"	615	"-"	"Nonessential"	"Metabolism"	"Folding, Sorting and Degradation"	"Peptidases"	"trans-membrane"	10	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0402"	"ybeY"	"rRNA maturation RNase"	164	64	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	64	"AI"	
"JCVISYN3A_0403"	"era"	"Ribosome GTPase"	301	46	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	46	"AI"	
"JCVISYN3A_0404"	"recO"	"DNA repair protein"	249	9	"Nonessential"	"Genetic Information Processing"	"DNA Maintenance"	"DNA repair and recombination proteins"	"cytoplasm"	10	"AI"	
"JCVISYN3A_0405"	"glyRS"	"Glycine--tRNA ligase"	456	104	"Essential"	"Metabolism"	"Translation"	"tRNA loading"	"cytoplasm"	107	"PRIMARY_MISMATCH"	
"JCVISYN3A_0406"	"dnaG"	"DNA primase"	612	60	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"DNA replication"	"cytoplasm"	60	"AI"	
"JCVISYN3A_0407"	"rpoD"	"RNA polymerase subunit sigma"	506	227	"Essential"	"Genetic Information Processing"	"Transcription"	"Transcription machinery"	"cytoplasm"	227		
"JCVISYN3A_0408"	"trmK; yqfN"	"tRNA (m1A22) methyltransferase "	225	19	"Quasiessential"	"Genetic Information Processing"	"Translation"	"tRNA biogenesis"	"cytoplasm"	19	"AI"	
"JCVISYN3A_0409"	"folE/yqfO-like"	"Uncharacterized protein/GTP cyclohydrolase"	258	88	"Quasiessential"	"Unclear"	"Other Enzymes"	"Other enzymes"	"cytoplasm"	88	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0410"	"cshB"	"Degradosome RNA helicase "	453	120	"Quasiessential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"RNA degradation"	"peripheral membrane"	120	"AI"	
"JCVISYN3A_0411"		"Uncharacterized protein"	504	83	"Nonessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	83	"AI"	
"JCVISYN3A_0412"	"secDF"	"Preprotein translocase subunit DF"	1384	215	"Essential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"Protein export"	"trans-membrane"	215		
"JCVISYN3A_0413"	"apt"	"Adenine phosphoribosyltransferase"	170	363	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	363		
"JCVISYN3A_0414"	"relA"	"Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase"	754	122	"Quasiessential"	"Metabolism"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	122	"AI"	
"JCVISYN3A_0415"	"smc"	"Chromosome segregation protein"	988	202	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"Chromosome-related"	"cytoplasm"	202		
"JCVISYN3A_0416"		"Uncharacterized protein"	129	0	"Quasiessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	10	"AI"	
"JCVISYN3A_0418"	"rnc"	"Ribonuclease III"	232	59	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	59	"AI"	
"JCVISYN3A_0419"	"plsX"	"Phosphate acyltransferase"	334	140	"Essential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"peripheral membrane"	140		
"JCVISYN3A_0420"	"fakA"	"Fatty acid kinase subunit A"	547	205	"Essential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"peripheral membrane"	205		
"JCVISYN3A_0421"	"-/yloU"	"Uncharacterized protein/lipid synthesis regulation"	103	81	"Quasiessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	81	"AI"	
"JCVISYN3A_0422"	"rpmB"	"50S ribosomal protein L28"	65	118	"Quasiessential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	118		
"JCVISYN3A_0424"	"-/yqgC-like"	"Uncharacterized protein/Unknown - B. subtilis ortholog"	147	7	"Essential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	10	"AI"	
"JCVISYN3A_0425"	"pstS"	"Phosphate ABC transporter substrate-binding protein"	376	56	"Essential"	"Metabolism"	"Membrane Transport"	"Inorganic"	"trans-membrane"	56		
"JCVISYN3A_0426"	"pstA"	"Phosphate ABC transporter permease"	696	26	"Essential"	"Metabolism"	"Membrane Transport"	"Inorganic"	"trans-membrane"	26		
"JCVISYN3A_0427"	"pstB"	"Phosphate ABC transporter ATP-binding protein"	269	123	"Essential"	"Metabolism"	"Membrane Transport"	"Inorganic"	"peripheral membrane"	123		
"JCVISYN3A_0428"	"phoU"	"Phosphate transport system regulatory protein"	224	133	"Essential"	"Metabolism"	"Membrane Transport"	"Inorganic"	"peripheral membrane"	133	"AI"	
"JCVISYN3A_0429"	"ftsY"	"Signal recognition particle-docking protein"	409	88	"Essential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"Protein export"	"peripheral membrane"	88	"AI"	
"JCVISYN3A_0430"	"-/ylxM"	"Uncharacterized DNA-binding protein/effector of translocation SRP"	113	41	"Essential"	"Unclear"	"Folding, Sorting and Degradation"	"Protein export"	"cytoplasm"	41	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0431"	"ymdB/ymdB"	"Uncharacterized metallophosphoesterase/Damage Control phosphoesterase"	257	36	"Essential"	"Unclear"	"Kegg ortholog defined"	"General function prediction only"	"cytoplasm"	36	"AI"	
"JCVISYN3A_0432"	"metK"	"Methionine adenosyltransferase"	387	56	"Essential"	"Metabolism"	"Biosynthesis"	"Amino acid metabolism"	"cytoplasm"	56	"AI"	
"JCVISYN3A_0433"	"cutC/cutC-like"	"Uncharacterized protein/Copper Homeostasis Regulator"	227	30	"Nonessential"	"Metabolism"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	30	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0434"	"rlmFO"	"23S rRNA (uridine(1939)-m5)-methyltransferase"	438	70	"Nonessential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	70	"AI"	
"JCVISYN3A_0435"	"manA"	"Mannose-6-phosphate isomerase"	309	44	"Nonessential"	"Metabolism"	"Central Carbon Metabolism"	"Other central metabolism enzymes"	"cytoplasm"	44	"AI"	
"JCVISYN3A_0437"	"yhaM"	"Putative 3'-5' exoribonuclease"	326	517	"Essential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"RNA degradation"	"peripheral membrane"	517		
"JCVISYN3A_0438"	"hinT"	"Uncharacterized protein"	132	197	"Nonessential"	"Metabolism"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	197	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0439"		"Uncharacterized lipoprotein"	718	374	"Essential"	"Unclear"	"Kegg ortholog defined"	"General function prediction only"	"lipoprotein"	374	"AI"	
"JCVISYN3A_0440"		"Uncharacterized lipoprotein"	978	408	"Essential"	"Unclear"	"Kegg ortholog defined"	"General function prediction only"	"lipoprotein"	408	"AI"	
"JCVISYN3A_0441"	"iscS"	"Cysteine desulfurase"	412	51	"Essential"	"Metabolism"	"Biosynthesis"	"Cofactor biosynthesis"	"cytoplasm"	51	"AI"	
"JCVISYN3A_0442"	"iscU"	"Iron-sulfur cluster assembly scaffold protein"	145	19	"Essential"	"Metabolism"	"Biosynthesis"	"Cofactor biosynthesis"	"cytoplasm"	19	"AI"	
"JCVISYN3A_0443"	"yggN"	"5-Formyltetrahydrofolate cyclo-ligase"	187	38	"Essential"	"Metabolism"	"Biosynthesis"	"Cofactor biosynthesis"	"cytoplasm"	38		
"JCVISYN3A_0444"	"pepO"	"Oligopeptidase "	631	235	"Quasiessential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"Peptidases"	"cytoplasm"	235	"AI"	
"JCVISYN3A_0445"	"pgi"	"Glucose-6-phosphate isomerase"	427	266	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Glycolysis"	"cytoplasm"	266		
"JCVISYN3A_0447"	"dut"	"dUTP diphosphatase"	167	10	"Essential"	"Genetic Information Processing"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	10	"PRIMARY_MISMATCH"	
"JCVISYN3A_0448"	"spoU"	"Uncharacterized rRNA methyltransferase"	255	317	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	317	"AI"	
"JCVISYN3A_0451"	"gapdh"	"Glyceraldehyde-3-phosphate dehydrogenase"	471	248	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Glycolysis"	"cytoplasm"	248		
"JCVISYN3A_0452"	"parE"	"DNA topoisomerase IV subunit B"	643	157	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"Chromosome-related"	"cytoplasm"	157		
"JCVISYN3A_0453"	"parC"	"DNA topoisomerase IV subunit A"	898	156	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"Chromosome-related"	"cytoplasm"	156		
"JCVISYN3A_0475"	"ldh"	"L-lactate dehydrogenase"	318	1100	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Pyruvate metabolism"	"cytoplasm"	1100		
"JCVISYN3A_0478"		"Uncharacterized protein"	194	8	"Essential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	10	"AI"	
"JCVISYN3A_0479"		"Uncharacterized peptidase"	548	66	"Quasiessential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"Peptidases"	"trans-membrane"	66	"AI"	
"JCVISYN3A_0481"		"Uncharacterized lipoprotein"	145	8	"Nonessential"	"Unclear"	"Kegg ortholog defined"	"General function prediction only"	"lipoprotein"	10	"AI"	
"JCVISYN3A_0482"	"rpsU"	"30S ribosomal protein S21"	54	0	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	10		
"JCVISYN3A_0154"	"pepA; CARP"	"Uncharacterized peptidase"	451	"-"	"Quasiessential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"Peptidases"	"cytoplasm"	10	"AI"	
"JCVISYN3A_0493"	"dapE"	"Low specificity dipeptidase "	449	573	"Quasiessential"	"Unclear"	"Folding, Sorting and Degradation"	"Peptidases"	"peripheral membrane"	573	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0494"	"nanE"	"N-acetylmannosamine-6-phosphate 2-epimerase"	226	30	"Nonessential"	"Metabolism"	"Central Carbon Metabolism"	"Other central metabolism enzymes"	"cytoplasm"	30	"AI"	
"JCVISYN3A_0495"	"nanK"	"Uncharacterized kinase"	291	7	"Nonessential"	"Metabolism"	"Kegg ortholog defined"	"General function prediction only"	"cytoplasm"	10	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0499"	"rpmA"	"50S ribosomal protein L27"	93	134	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	134		
"JCVISYN3A_0500"	"prp;ysxB"	"Maturation protease for ribosomal protein L27"	104	42	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	42	"AI"	
"JCVISYN3A_0501"	"rplU"	"50S ribosomal protein L21"	100	246	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	246		
"JCVISYN3A_0503"		"Uncharacterized protein"	133	"-"	"Quasiessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"extracellular"	10	"AI"	
"JCVISYN3A_0504"	"rsmI"	"16S rRNA (cytidine(1402)-2'-O)-methyltransferase"	295	38	"Nonessential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	38	"AI"	
"JCVISYN3A_0930"	"rpmG"	"50S ribosomal protein L33"	47	"-"	"Nonessential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	10		
"JCVISYN3A_0505"		"Uncharacterized lipoprotein"	357	251	"Nonessential"	"Unclear"	"Kegg ortholog defined"	"General function prediction only"	"extracellular"	251	"AI"	
"JCVISYN3A_0511"		"Uncharacterized protein"	207	201	"Essential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	201	"AI"	
"JCVISYN3A_0512"	"plsC"	"Acyl-phosphate glycerol 3-phosphate acyltransferase"	315	170	"Essential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"peripheral membrane"	170		
"JCVISYN3A_0513"	"acpS"	"ACP synthase"	110	1	"Essential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"cytoplasm"	50		
"JCVISYN3A_0515"	"dctD"	"Cytidine deaminase"	160	128	"Quasiessential"	"Metabolism"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	128		
"JCVISYN3A_0516"	"-/yqgP-gplG"	"Uncharacterized protein/membrane protease"	433	63	"Quasiessential"	"Unclear"	"Folding, Sorting and Degradation"	"Peptidases"	"trans-membrane"	63	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0517"	"rluD"	"Uncharacterized RNA pseudouridine synthase"	310	97	"Nonessential"	"Genetic Information Processing"	"Kegg ortholog defined"	"General function prediction only"	"cytoplasm"	97	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0518"	"lspA"	"Lipoprotein signal peptidase"	202	3	"Essential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"Protein export"	"trans-membrane"	10	"AI"	
"JCVISYN3A_0519"	"ileRS"	"Isoleucine--tRNA ligase"	915	216	"Essential"	"Metabolism"	"Translation"	"tRNA loading"	"cytoplasm"	219	"PRIMARY_MISMATCH"	
"JCVISYN3A_0520"		"Uncharacterized hydrolase"	329	30	"Nonessential"	"Unclear"	"Other Enzymes"	"Other enzymes"	"cytoplasm"	30	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0521"	"sepF"	"Cell division protein"	138	50	"Nonessential"	"Cellular Processes"	"Cell Growth"	"Cell division"	"peripheral membrane"	50	"AI"	
"JCVISYN3A_0522"	"ftsZ"	"Cell division protein"	385	541	"Nonessential"	"Cellular Processes"	"Cell Growth"	"Cell division"	"peripheral membrane"	541	"AI"	
"JCVISYN3A_0523"	"ftsA"	"Cell division protein"	386	51	"Nonessential"	"Cellular Processes"	"Cell Growth"	"Cell division"	"peripheral membrane"	51	"AI"	
"JCVISYN3A_0524"	"rsmH; mraW"	"16S rRNA (cytosine(1402)-N(4))-methyltransferase"	308	33	"Nonessential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	33	"AI"	
"JCVISYN3A_0525"	"mraZ"	"Cell division/cell wall cluster transcriptional repressor"	133	"-"	"Nonessential"	"Genetic Information Processing"	"Transcription"	"Transcription factors"	"cytoplasm"	10	"AI"	
"JCVISYN3A_0526"	"rpmF"	"50S ribosomal protein L32"	59	21	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	21		
"JCVISYN3A_0527"	"-/ylbN"	"Uncharacterized protein/23S rRNA regulator"	172	331	"Nonessential"	"Unclear"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	331	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0528"	"pheRS"	"Phenylalanine--tRNA ligase subunit beta"	794	778	"Essential"	"Metabolism"	"Translation"	"tRNA loading"	"cytoplasm"	778	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0529"	"pheS"	"Phenylalanine--tRNA ligase subunit alpha"	350	290	"Essential"	"Metabolism"	"Translation"	"tRNA loading"	"cytoplasm"	293	"PRIMARY_MISMATCH"	
"JCVISYN3A_0530"		"Uncharacterized protein"	202	196	"Quasiessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	196	"AI"	
"JCVISYN3A_0535"	"argRS"	"Arginine--tRNA ligase"	554	191	"Essential"	"Metabolism"	"Translation"	"tRNA loading"	"cytoplasm"	194	"PRIMARY_MISMATCH"	
"JCVISYN3A_0536"	"frr"	"Ribosome recycling factor"	182	631	"Essential"	"Genetic Information Processing"	"Translation"	"Translation factors"	"cytoplasm"	631	"AI"	
"JCVISYN3A_0537"	"pyrH"	"UMP kinase"	237	144	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	144		
"JCVISYN3A_0538"		"Uncharacterized protein"	201	407	"Nonessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	407	"AI"	
"JCVISYN3A_0539"	"tsf"	"Translation elongation factor Ts"	295	514	"Essential"	"Genetic Information Processing"	"Translation"	"Translation factors"	"cytoplasm"	514	"AI"	
"JCVISYN3A_0540"	"rpsB"	"30S ribosomal protein S2"	292	597	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	597		
"JCVISYN3A_0541"	"dnaJ"	"Molecular chaperone"	372	208	"Essential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"Chaperones and folding catalysts"	"cytoplasm"	208	"AI"	
"JCVISYN3A_0542"	"dnaK"	"Molecular chaperone"	591	1328	"Essential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"Chaperones and folding catalysts"	"cytoplasm"	1328	"AI"	
"JCVISYN3A_0543"	"grpE"	"Nucleotide exchange factor"	200	406	"Essential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"Chaperones and folding catalysts"	"cytoplasm"	406	"AI"	
"JCVISYN3A_0544"	"hrcA"	"Heat-inducible transcription repressor"	340	220	"Essential"	"Genetic Information Processing"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	220	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0545"	"clpB"	"ATP-dependent Clp protease subunit B"	713	610	"Essential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"Chaperones and folding catalysts"	"cytoplasm"	610	"AI"	
"JCVISYN3A_0548"	"trmL; cspR"	"tRNA (cytidine(34)-2'-O)-methyltransferase"	181	186	"Nonessential"	"Genetic Information Processing"	"Translation"	"tRNA biogenesis"	"cytoplasm"	186	"AI"	
