Locus Tag	Gene Name	Gene Product	Protein Length	Exp. Ptn Cnt	Essentiality	Primary Function	Secondary Function	Tertiary Function	Localization	Sim. Initial Ptn Cnt	Review Flag
JCVISYN3A_0411		Uncharacterized protein	504.0	83	Nonessential	Unclear			trans-membrane	83	
JCVISYN3A_0412	secDF	Preprotein translocase subunit DF	1384.0	215	Essential	Genetic Information Processing	Folding, Sorting and Degradation	Protein export	trans-membrane	215	
JCVISYN3A_0413	apt	Adenine phosphoribosyltransferase	170.0	363	Essential	Metabolism	Central Carbon Metabolism	Nucleotide metabolism	cytoplasm	363	
JCVISYN3A_0414	relA	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase	754.0	122	Quasiessential	Metabolism			cytoplasm	122	
JCVISYN3A_0415	smc	Chromosome segregation protein	988.0	202	Essential	Genetic Information Processing	DNA Maintenance	Chromosome-related	cytoplasm	202	
JCVISYN3A_0416		Uncharacterized protein	129.0	0	Quasiessential	Unclear			cytoplasm	10	
JCVISYN3A_0418	rnc	Ribonuclease III	232.0	59	Essential	Genetic Information Processing			cytoplasm	59	
JCVISYN3A_0419	plsX	Phosphate acyltransferase	334.0	140	Essential	Metabolism	Biosynthesis	Lipid metabolism	peripheral membrane	140	
JCVISYN3A_0420	fakA	Fatty acid kinase subunit A	547.0	205	Essential	Metabolism	Biosynthesis	Lipid metabolism	peripheral membrane	205	
JCVISYN3A_0421	-/yloU	Uncharacterized protein/lipid synthesis regulation	103.0	81	Quasiessential	Unclear			cytoplasm	81	
JCVISYN3A_0422	rpmB	50S ribosomal protein L28	65.0	118	Quasiessential	Genetic Information Processing	Translation	Ribosome	cytoplasm	118	
JCVISYN3A_0424	-/yqgC-like	Uncharacterized protein/Unknown - B. subtilis ortholog	147.0	7	Essential	Unclear			cytoplasm	10	
JCVISYN3A_0425	pstS	Phosphate ABC transporter substrate-binding protein	376.0	56	Essential	Metabolism	Membrane Transport	Inorganic	trans-membrane	56	
JCVISYN3A_0426	pstA	Phosphate ABC transporter permease	696.0	26	Essential	Metabolism	Membrane Transport	Inorganic	trans-membrane	26	
JCVISYN3A_0427	pstB	Phosphate ABC transporter ATP-binding protein	269.0	123	Essential	Metabolism	Membrane Transport	Inorganic	peripheral membrane	123	
JCVISYN3A_0428	phoU	Phosphate transport system regulatory protein	224.0	133	Essential	Metabolism			peripheral membrane	133	
JCVISYN3A_0429	ftsY	Signal recognition particle-docking protein	409.0	88	Essential	Genetic Information Processing			peripheral membrane	88	
JCVISYN3A_0430	-/ylxM	Uncharacterized DNA-binding protein/effector of translocation SRP	113.0	41	Essential	Unclear			cytoplasm	41	
JCVISYN3A_0431	ymdB/ymdB	Uncharacterized metallophosphoesterase/Damage Control phosphoesterase	257.0	36	Essential	Unclear			cytoplasm	36	
JCVISYN3A_0432	metK	Methionine adenosyltransferase	387.0	56	Essential	Metabolism			cytoplasm	56	
JCVISYN3A_0433	cutC/cutC-like	Uncharacterized protein/Copper Homeostasis Regulator	227.0	30	Nonessential	Metabolism			cytoplasm	30	
JCVISYN3A_0434	rlmFO	23S rRNA (uridine(1939)-m5)-methyltransferase	438.0	70	Nonessential	Genetic Information Processing			cytoplasm	70	
JCVISYN3A_0435	manA	Mannose-6-phosphate isomerase	309.0	44	Nonessential	Metabolism			cytoplasm	44	
JCVISYN3A_0437	yhaM	Putative 3'-5' exoribonuclease	326.0	517	Essential	Genetic Information Processing	Folding, Sorting and Degradation	RNA degradation	peripheral membrane	517	
JCVISYN3A_0438	hinT	Uncharacterized protein	132.0	197	Nonessential	Metabolism			cytoplasm	197	
JCVISYN3A_0439		Uncharacterized lipoprotein	718.0	374	Essential	Unclear			lipoprotein	374	
JCVISYN3A_0440		Uncharacterized lipoprotein	978.0	408	Essential	Unclear			lipoprotein	408	
JCVISYN3A_0441	iscS	Cysteine desulfurase	412.0	51	Essential	Metabolism			cytoplasm	51	
JCVISYN3A_0442	iscU	Iron-sulfur cluster assembly scaffold protein	145.0	19	Essential	Metabolism			cytoplasm	19	
JCVISYN3A_0443	yggN	5-Formyltetrahydrofolate cyclo-ligase	187.0	38	Essential	Metabolism	Biosynthesis	Cofactor biosynthesis	cytoplasm	38	
JCVISYN3A_0444	pepO	Oligopeptidase 	631.0	235	Quasiessential	Genetic Information Processing			cytoplasm	235	
JCVISYN3A_0445	pgi	Glucose-6-phosphate isomerase	427.0	266	Essential	Metabolism	Central Carbon Metabolism	Glycolysis	cytoplasm	266	
JCVISYN3A_0447	dut	dUTP diphosphatase	167.0	10	Essential	Genetic Information Processing	Central Carbon Metabolism	Nucleotide metabolism	cytoplasm	10	PRIMARY_MISMATCH
JCVISYN3A_0448	spoU	Uncharacterized rRNA methyltransferase	255.0	317	Essential	Genetic Information Processing			cytoplasm	317	
JCVISYN3A_0451	gapdh	Glyceraldehyde-3-phosphate dehydrogenase	471.0	248	Essential	Metabolism	Central Carbon Metabolism	Glycolysis	cytoplasm	248	
JCVISYN3A_0452	parE	DNA topoisomerase IV subunit B	643.0	157	Essential	Genetic Information Processing	DNA Maintenance	Chromosome-related	cytoplasm	157	
JCVISYN3A_0453	parC	DNA topoisomerase IV subunit A	898.0	156	Essential	Genetic Information Processing	DNA Maintenance	Chromosome-related	cytoplasm	156	
JCVISYN3A_0475	ldh	L-lactate dehydrogenase	318.0	1100	Essential	Metabolism	Central Carbon Metabolism	Pyruvate metabolism	cytoplasm	1100	
JCVISYN3A_0478		Uncharacterized protein	194.0	8	Essential	Unclear			trans-membrane	10	
JCVISYN3A_0479		Uncharacterized peptidase	548.0	66	Quasiessential	Genetic Information Processing			trans-membrane	66	
JCVISYN3A_0481		Uncharacterized lipoprotein	145.0	8	Nonessential	Unclear			lipoprotein	10	
JCVISYN3A_0482	rpsU	30S ribosomal protein S21	54.0	0	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	10	
JCVISYN3A_0154	pepA; CARP	Uncharacterized peptidase	451.0	-	Quasiessential	Genetic Information Processing			cytoplasm	10	
JCVISYN3A_0493	dapE	Low specificity dipeptidase 	449.0	573	Quasiessential	Unclear			peripheral membrane	573	
JCVISYN3A_0494	nanE	N-acetylmannosamine-6-phosphate 2-epimerase	226.0	30	Nonessential	Metabolism			cytoplasm	30	
JCVISYN3A_0495	nanK	Uncharacterized kinase	291.0	7	Nonessential	Metabolism			cytoplasm	10	
JCVISYN3A_0499	rpmA	50S ribosomal protein L27	93.0	134	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	134	
JCVISYN3A_0500	prp;ysxB	Maturation protease for ribosomal protein L27	104.0	42	Essential	Genetic Information Processing			cytoplasm	42	
JCVISYN3A_0501	rplU	50S ribosomal protein L21	100.0	246	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	246	
JCVISYN3A_0503		Uncharacterized protein	133.0	-	Quasiessential	Unclear			extracellular	10	
JCVISYN3A_0504	rsmI	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	295.0	38	Nonessential	Genetic Information Processing			cytoplasm	38	
JCVISYN3A_0930	rpmG	50S ribosomal protein L33	47.0	-	Nonessential	Genetic Information Processing	Translation	Ribosome	cytoplasm	10	
JCVISYN3A_0505		Uncharacterized lipoprotein	357.0	251	Nonessential	Unclear			extracellular	251	
JCVISYN3A_0511		Uncharacterized protein	207.0	201	Essential	Unclear			cytoplasm	201	
JCVISYN3A_0512	plsC	Acyl-phosphate glycerol 3-phosphate acyltransferase	315.0	170	Essential	Metabolism	Biosynthesis	Lipid metabolism	peripheral membrane	170	
JCVISYN3A_0513	acpS	ACP synthase	110.0	1	Essential	Metabolism	Biosynthesis	Lipid metabolism	cytoplasm	50	
JCVISYN3A_0515	dctD	Cytidine deaminase	160.0	128	Quasiessential	Metabolism	Central Carbon Metabolism	Nucleotide metabolism	cytoplasm	128	
JCVISYN3A_0516	-/yqgP-gplG	Uncharacterized protein/membrane protease	433.0	63	Quasiessential	Unclear			trans-membrane	63	
JCVISYN3A_0517	rluD	Uncharacterized RNA pseudouridine synthase	310.0	97	Nonessential	Genetic Information Processing			cytoplasm	97	
JCVISYN3A_0518	lspA	Lipoprotein signal peptidase	202.0	3	Essential	Genetic Information Processing			trans-membrane	10	
JCVISYN3A_0519	ileRS	Isoleucine--tRNA ligase	915.0	216	Essential	Metabolism	Translation	tRNA loading	cytoplasm	219	PRIMARY_MISMATCH
JCVISYN3A_0520		Uncharacterized hydrolase	329.0	30	Nonessential	Unclear			cytoplasm	30	
JCVISYN3A_0521	sepF	Cell division protein	138.0	50	Nonessential	Cellular Processes			peripheral membrane	50	
JCVISYN3A_0522	ftsZ	Cell division protein	385.0	541	Nonessential	Cellular Processes			peripheral membrane	541	
JCVISYN3A_0523	ftsA	Cell division protein	386.0	51	Nonessential	Cellular Processes			peripheral membrane	51	
JCVISYN3A_0524	rsmH; mraW	16S rRNA (cytosine(1402)-N(4))-methyltransferase	308.0	33	Nonessential	Genetic Information Processing			cytoplasm	33	
JCVISYN3A_0525	mraZ	Cell division/cell wall cluster transcriptional repressor	133.0	-	Nonessential	Genetic Information Processing			cytoplasm	10	
JCVISYN3A_0526	rpmF	50S ribosomal protein L32	59.0	21	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	21	
JCVISYN3A_0527	-/ylbN	Uncharacterized protein/23S rRNA regulator	172.0	331	Nonessential	Unclear			cytoplasm	331	
JCVISYN3A_0528	pheRS	Phenylalanine--tRNA ligase subunit beta	794.0	778	Essential	Metabolism			cytoplasm	778	
JCVISYN3A_0529	pheS	Phenylalanine--tRNA ligase subunit alpha	350.0	290	Essential	Metabolism	Translation	tRNA loading	cytoplasm	293	PRIMARY_MISMATCH
JCVISYN3A_0530		Uncharacterized protein	202.0	196	Quasiessential	Unclear			cytoplasm	196	
JCVISYN3A_0535	argRS	Arginine--tRNA ligase	554.0	191	Essential	Metabolism	Translation	tRNA loading	cytoplasm	194	PRIMARY_MISMATCH
JCVISYN3A_0536	frr	Ribosome recycling factor	182.0	631	Essential	Genetic Information Processing			cytoplasm	631	
JCVISYN3A_0537	pyrH	UMP kinase	237.0	144	Essential	Metabolism	Central Carbon Metabolism	Nucleotide metabolism	cytoplasm	144	
JCVISYN3A_0538		Uncharacterized protein	201.0	407	Nonessential	Unclear			trans-membrane	407	
JCVISYN3A_0539	tsf	Translation elongation factor Ts	295.0	514	Essential	Genetic Information Processing			cytoplasm	514	
JCVISYN3A_0540	rpsB	30S ribosomal protein S2	292.0	597	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	597	
JCVISYN3A_0541	dnaJ	Molecular chaperone	372.0	208	Essential	Genetic Information Processing			cytoplasm	208	
JCVISYN3A_0542	dnaK	Molecular chaperone	591.0	1328	Essential	Genetic Information Processing			cytoplasm	1328	
JCVISYN3A_0543	grpE	Nucleotide exchange factor	200.0	406	Essential	Genetic Information Processing			cytoplasm	406	
JCVISYN3A_0544	hrcA	Heat-inducible transcription repressor	340.0	220	Essential	Genetic Information Processing			cytoplasm	220	
JCVISYN3A_0545	clpB	ATP-dependent Clp protease subunit B	713.0	610	Essential	Genetic Information Processing			cytoplasm	610	
JCVISYN3A_0548	trmL; cspR	tRNA (cytidine(34)-2'-O)-methyltransferase	181.0	186	Nonessential	Genetic Information Processing			cytoplasm	186	
JCVISYN3A_0549	rgdB	Non-canonical purine NTP pyrophosphatase	200.0	129	Nonessential	Metabolism			cytoplasm	129	
JCVISYN3A_0931	met14p	Adenylyl-sulfate kinase	202.0	-	Nonessential	Metabolism			cytoplasm	10	
JCVISYN3A_0592		Uncharacterized protein	399.0	79	Quasiessential	Unclear			cytoplasm	79	
JCVISYN3A_0593		Uncharacterized protein	92.0	-	Nonessential	Unclear			cytoplasm	10	
JCVISYN3A_0599		Uncharacterized protein	46.0	2	Nonessential	Unclear			cytoplasm	10	
JCVISYN3A_0600	rnjA	Ribonuclease J	610.0	120	Essential	Genetic Information Processing	Folding, Sorting and Degradation	RNA degradation	peripheral membrane	120	
JCVISYN3A_0601		Uncharacterized protein	314.0	72	Nonessential	Unclear			trans-membrane	72	
JCVISYN3A_0604	lemA/lemA-gacS	Uncharacterized protein/two component sensor, membrane	222.0	345	Nonessential	Unclear			trans-membrane	345	
JCVISYN3A_0605		Uncharacterized protein	102.0	68	Nonessential	Unclear			lipoprotein	68	
JCVISYN3A_0606	pgk	Phosphoglycerate kinase	404.0	411	Essential	Metabolism	Central Carbon Metabolism	Glycolysis	cytoplasm	411	CONFLICT(also:Nucleotide)
JCVISYN3A_0607	gapDH	Type I glyceraldehyde-3-phosphate dehydrogenase	338.0	1355	Essential	Metabolism	Central Carbon Metabolism	Glycolysis	cytoplasm	1355	
JCVISYN3A_0608	dnaI	Primosomal protein	312.0	41	Essential	Genetic Information Processing			cytoplasm	41	
JCVISYN3A_0609	dnaB	Chromosome replication initiation protein	394.0	15	Essential	Genetic Information Processing			cytoplasm	15	
JCVISYN3A_0610	mutM	DNA-formamidopyrimidine glycosylase	274.0	121	Nonessential	Genetic Information Processing			cytoplasm	121	
JCVISYN3A_0611	polA	DNA polymerase I	911.0	101	Essential	Genetic Information Processing			cytoplasm	101	
JCVISYN3A_0612	dnaE	DNA polymerase III subunit alpha	987.0	36	Essential	Genetic Information Processing			cytoplasm	36	
JCVISYN3A_0613	tyrRS	Tyrosine--tRNA ligase	414.0	98	Essential	Metabolism	Translation	tRNA loading	cytoplasm	101	PRIMARY_MISMATCH
JCVISYN3A_0614	pncB	Nicotinate phosphoribosyltransferase	353.0	165	Essential	Metabolism	Biosynthesis	Cofactor biosynthesis	cytoplasm	165	
JCVISYN3A_0615		Uncharacterized protein	202.0	233	Quasiessential	Unclear			cytoplasm	233	
JCVISYN3A_0616	fakB	Fatty acid binding protein	279.0	366	Essential	Metabolism	Biosynthesis	Lipid metabolism	peripheral membrane	366	
JCVISYN3A_0617	fakB	Fatty acid binding protein	283.0	205	Quasiessential	Metabolism	Biosynthesis	Lipid metabolism	peripheral membrane	205	
JCVISYN3A_0620	perR	Uncharacterized transcriptional regulator	154.0	18	Nonessential	Genetic Information Processing			cytoplasm	18	
JCVISYN3A_0621	acpA	Acyl carrier protein	73.0	138	Essential	Metabolism			peripheral membrane	652	
JCVISYN3A_0622		Uncharacterized lipoprotein	120.0	-	Nonessential	Unclear			trans-membrane	10	
JCVISYN3A_0623		Uncharacterized protein	356.0	-	Nonessential	Unclear			unidentified	10	
JCVISYN3A_0634	leuRS	Leucine--tRNA ligase	804.0	208	Essential	Metabolism	Translation	tRNA loading	cytoplasm	211	PRIMARY_MISMATCH
JCVISYN3A_0636		Uncharacterized lipoprotein	929.0	111	Essential	Unclear			lipoprotein	111	
JCVISYN3A_0637	rpsI	30S ribosomal protein S9	132.0	426	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	426	
JCVISYN3A_0638	rplM	50S ribosomal protein L13	151.0	632	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	632	
JCVISYN3A_0639		Uncharacterized efflux ABC transporter permease	1381.0	95	Essential	Metabolism			trans-membrane	95	
JCVISYN3A_0640	truA	tRNA pseudouridine(38-40) synthase	251.0	14	Quasiessential	Genetic Information Processing			cytoplasm	14	
JCVISYN3A_0641	ecfT	ECF transporter T component	336.0	25	Essential	Metabolism	Membrane Transport	Cofactor	trans-membrane	25	
JCVISYN3A_0642	ecfA	ECF transporter ATPase	303.0	274	Essential	Metabolism	Membrane Transport	Cofactor	peripheral membrane	274	
JCVISYN3A_0643	ecfA	ECF transporter ATPase	408.0	-	Essential	Metabolism	Membrane Transport	Cofactor	peripheral membrane	10	
JCVISYN3A_0644	rplQ	50S ribosomal protein L17	119.0	117	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	117	
JCVISYN3A_0645	rpoA	DNA-directed RNA polymerase subunit alpha	317.0	187	Essential	Genetic Information Processing	Transcription	Transcription machinery	cytoplasm	187	
JCVISYN3A_0646	rpsK	30S ribosomal protein S11	129.0	228	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	228	
JCVISYN3A_0647	rpsM	30S ribosomal protein S13	121.0	665	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	665	
JCVISYN3A_0648	rpmJ	50S ribosomal protein L36	37.0	-	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	10	
JCVISYN3A_0649	infA	Translation initiation factor IF-1	74.0	-	Essential	Genetic Information Processing			cytoplasm	10	
JCVISYN3A_0650	map	Type I methionyl aminopeptidase	251.0	69	Essential	Genetic Information Processing			cytoplasm	69	
JCVISYN3A_0651	adk	Adenylate kinase	213.0	213	Essential	Metabolism	Central Carbon Metabolism	Nucleotide metabolism	cytoplasm	213	
JCVISYN3A_0652	secY	Preprotein translocase subunit	482.0	66	Essential	Genetic Information Processing	Folding, Sorting and Degradation	Protein export	trans-membrane	66	
JCVISYN3A_0653	rplO	50S ribosomal protein L15	145.0	285	Quasiessential	Genetic Information Processing	Translation	Ribosome	cytoplasm	285	
JCVISYN3A_0654	rpsE	30S ribosomal protein S5	254.0	395	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	395	
JCVISYN3A_0655	rplR	50S ribosomal protein L18	116.0	274	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	274	
JCVISYN3A_0656	rplF	50S ribosomal protein L6	180.0	716	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	716	
JCVISYN3A_0657	rpsH	30S ribosomal protein S8	129.0	217	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	217	
JCVISYN3A_0658	rpsN	30S ribosomal protein S14	61.0	331	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	331	
JCVISYN3A_0659	rplE	50S ribosomal protein L5	180.0	703	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	703	
JCVISYN3A_0660	rplX	50S ribosomal protein L24	108.0	305	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	305	
JCVISYN3A_0661	rplN	50S ribosomal protein L14	122.0	100	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	100	
JCVISYN3A_0662	rpsQ	30S ribosomal protein S17	86.0	530	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	530	
JCVISYN3A_0663	rpmC	50S ribosomal protein L29	138.0	533	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	533	
JCVISYN3A_0664	rplP	50S ribosomal protein L16	137.0	168	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	168	
JCVISYN3A_0665	rpsC	30S ribosomal protein S3	233.0	1001	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	1001	
JCVISYN3A_0666	rplV	50S ribosomal protein L22	111.0	373	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	373	
JCVISYN3A_0667	rpsS	30S ribosomal protein S19	88.0	630	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	630	
JCVISYN3A_0668	rplB	50S ribosomal protein L2	282.0	184	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	184	
JCVISYN3A_0669	rplW	50S ribosomal protein L23	94.0	349	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	349	
JCVISYN3A_0670	rplD	50S ribosomal protein L4	208.0	258	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	258	
JCVISYN3A_0671	rplC	50S ribosomal protein L3	223.0	434	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	434	
JCVISYN3A_0672	rpsJ	30S ribosomal protein S10	102.0	725	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	725	
JCVISYN3A_0684	folD	Bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/5,10-methylene-tetrahydrofolate cyclohydrolase	288.0	76	Quasiessential	Metabolism	Biosynthesis	Cofactor biosynthesis	cytoplasm	76	
JCVISYN3A_0685	ktrD	Sodium transporter	533.0	17	Essential	Metabolism	Membrane Transport	Inorganic	trans-membrane	17	
JCVISYN3A_0686	ktrC	Potassium transporter	242.0	305	Essential	Metabolism	Membrane Transport	Inorganic	peripheral membrane	305	
JCVISYN3A_0687	gatB	Glutamyl-tRNA amidotransferase subunit B	479.0	212	Essential	Genetic Information Processing			cytoplasm	212	
JCVISYN3A_0688	gatA	Glutamyl-tRNA amidotransferase subunit A	485.0	144	Essential	Genetic Information Processing			cytoplasm	144	
JCVISYN3A_0689	gatC	Glutamyl-tRNA amidotransferase subunit C	98.0	87	Essential	Genetic Information Processing	Translation	tRNA loading	cytoplasm	91	
JCVISYN3A_0690	ligA	DNA ligase (NAD(+))	668.0	48	Essential	Genetic Information Processing			cytoplasm	48	
JCVISYN3A_0691		Uncharacterized protein	673.0	11	Essential	Unclear			trans-membrane	11	
JCVISYN3A_0692	rluC	Uncharacterized pseudouridine synthase	302.0	36	Nonessential	Genetic Information Processing			cytoplasm	36	
JCVISYN3A_0693		Uncharacterized protease	322.0	21	Essential	Genetic Information Processing			trans-membrane	21	
JCVISYN3A_0694	ptsH	ptsH: Phosphocarrier protein	89.0	290	Essential	Metabolism			cytoplasm	289	
JCVISYN3A_0695	pcrA	ATP-dependent DNA helicase	722.0	218	Quasiessential	Genetic Information Processing			cytoplasm	218	
JCVISYN3A_0696		Uncharacterized transporter	251.0	4	Essential	Metabolism			trans-membrane	10	
JCVISYN3A_0697		Uncharacterized glycosyl transferase	318.0	119	Quasiessential	Metabolism	Biosynthesis	Lipid metabolism	peripheral membrane	119	
JCVISYN3A_0706	thiP	Thiamine ABC transporter permease	582.0	2	Quasiessential	Metabolism	Membrane Transport	Cofactor	trans-membrane	10	
JCVISYN3A_0707	thiQ	Thiamine ABC transporter ATP-binding protein	249.0	41	Quasiessential	Metabolism	Membrane Transport	Cofactor	peripheral membrane	41	
JCVISYN3A_0708	thiB	Thiamine ABC transporter substrate-binding protein	487.0	210	Quasiessential	Metabolism	Membrane Transport	Cofactor	lipoprotein	210	
JCVISYN3A_0710		Low specificity hydrolase 	287.0	81	Quasiessential	Unclear			cytoplasm	81	
JCVISYN3A_0726	nagB	Glucosamine-6-phosphate deaminase	244.0	142	Nonessential	Metabolism			cytoplasm	142	
JCVISYN3A_0727	tpiA	Triose-phosphate isomerase	248.0	410	Essential	Metabolism	Central Carbon Metabolism	Glycolysis	cytoplasm	410	
JCVISYN3A_0728	ycsE; YitU; ywtE	Low specificity hydrolase 	278.0	105	Nonessential	Unclear			cytoplasm	105	
JCVISYN3A_0729	pgm	Phosphoglycerate mutase (2,3-diphosphoglycerate-independent)	531.0	322	Essential	Metabolism	Central Carbon Metabolism	Glycolysis	cytoplasm	322	
JCVISYN3A_0730		Uncharacterized protein	199.0	16	Quasiessential	Unclear			cytoplasm	16	
JCVISYN3A_0732	deoC	Deoxyribose-phosphate aldolase	222.0	171	Nonessential	Metabolism	Central Carbon Metabolism	Pentose phosphate metabolism	cytoplasm	171	
JCVISYN3A_0733	deoB	Phosphopentomutase	558.0	274	Essential	Metabolism	Central Carbon Metabolism	Pentose phosphate metabolism	cytoplasm	274	CONFLICT(also:Lipid)
JCVISYN3A_0747	punA	Purine-nucleoside phosphorylase	217.0	629	Quasiessential	Metabolism	Central Carbon Metabolism	Nucleotide metabolism	cytoplasm	629	
JCVISYN3A_0771	nrdE	Ribonucleotide-diphosphate reductase subunit alpha	720.0	382	Quasiessential	Genetic Information Processing	Central Carbon Metabolism	Nucleotide metabolism	cytoplasm	382	PRIMARY_MISMATCH
JCVISYN3A_0772	nrdI	Ribonucleotide reductase assembly protein	157.0	50	Essential	Metabolism	Central Carbon Metabolism	Nucleotide metabolism	cytoplasm	50	
JCVISYN3A_0773	nrdF	Ribonucleoside-diphosphate reductase subunit beta	339.0	297	Quasiessential	Genetic Information Processing	Central Carbon Metabolism	Nucleotide metabolism	cytoplasm	297	PRIMARY_MISMATCH
JCVISYN3A_0774	secG	Preprotein translocase subunit	94.0	4	Quasiessential	Genetic Information Processing	Folding, Sorting and Degradation	Protein export	trans-membrane	10	
JCVISYN3A_0775	rnr	Ribonuclease R	704.0	140	Essential	Genetic Information Processing			peripheral membrane	140	
JCVISYN3A_0776	smpB	SsrA-binding protein	148.0	93	Essential	Genetic Information Processing			cytoplasm	93	
JCVISYN3A_0777		Uncharacterized protein	161.0	10	Quasiessential	Unclear			trans-membrane	10	
JCVISYN3A_0778		Uncharacterized protein	83.0	5	Essential	Unclear			trans-membrane	10	
JCVISYN3A_0779	ptsG	PTS sugar transporter	745.0	831	Essential	Metabolism			trans-membrane	830	
JCVISYN3A_0787	mgtA	Magnesium-translocating P-type ATPase	942.0	65	Essential	Metabolism	Membrane Transport	Inorganic	trans-membrane	65	
JCVISYN3A_0789	atpC	F1 ATP synthase subunit epsilon	99.0	108	Essential	Metabolism	Energy Metabolism	Oxidative phosphorylation	peripheral membrane	108	
JCVISYN3A_0790	atpD	F1 ATP synthase subunit beta	475.0	347	Essential	Metabolism	Energy Metabolism	Oxidative phosphorylation	peripheral membrane	347	
JCVISYN3A_0791	atpG	F1 ATP synthase subunit gamma	280.0	136	Essential	Metabolism	Energy Metabolism	Oxidative phosphorylation	peripheral membrane	136	
JCVISYN3A_0792	atpA	F1 ATP synthase subunit alpha	525.0	327	Essential	Metabolism	Energy Metabolism	Oxidative phosphorylation	peripheral membrane	327	
JCVISYN3A_0793	atpH	F1 ATP synthase subunit delta	181.0	32	Essential	Metabolism	Energy Metabolism	Oxidative phosphorylation	peripheral membrane	32	
JCVISYN3A_0794	atpF	F0 ATP synthase subunit B	181.0	181	Essential	Metabolism	Energy Metabolism	Oxidative phosphorylation	trans-membrane	181	
JCVISYN3A_0795	atpE	F0 ATP synthase subunit C	101.0	-	Essential	Metabolism	Energy Metabolism	Oxidative phosphorylation	trans-membrane	10	
JCVISYN3A_0796	atpB	F0 ATP synthase subunit A	287.0	8	Essential	Metabolism	Energy Metabolism	Oxidative phosphorylation	trans-membrane	10	
JCVISYN3A_0797	atpI	Uncharacterized protein/Chaperon for ATP Synthase C-ring formation	132.0	9	Essential	Unclear			trans-membrane	10	
JCVISYN3A_0798	upp	Uracil phosphoribosyltransferase	207.0	362	Essential	Metabolism	Central Carbon Metabolism	Nucleotide metabolism	cytoplasm	362	
JCVISYN3A_0799	glyA	Serine hydroxymethyltransferase	413.0	178	Quasiessential	Metabolism	Biosynthesis	Cofactor biosynthesis	cytoplasm	178	
JCVISYN3A_0800	rpiB	Ribose 5-phosphate isomerase B	147.0	207	Quasiessential	Metabolism	Central Carbon Metabolism	Pentose phosphate metabolism	cytoplasm	207	
JCVISYN3A_0803	rpoC	DNA-directed RNA polymerase subunit beta'	1255.0	546	Essential	Genetic Information Processing	Transcription	Transcription machinery	cytoplasm	546	
JCVISYN3A_0804	rpoB	DNA-directed RNA polymerase subunit beta	1291.0	529	Essential	Genetic Information Processing	Transcription	Transcription machinery	cytoplasm	529	
JCVISYN3A_0805	-/fic	Uncharacterized protein/Filamentation, Protein Adenylation	391.0	27	Essential	Unclear			cytoplasm	27	
JCVISYN3A_0806	rplG	50S ribosomal protein L7/L12	122.0	765	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	765	
JCVISYN3A_0807	rplJ	50S ribosomal protein L10	165.0	283	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	283	
JCVISYN3A_0809	rplA	50S ribosomal protein L1	226.0	658	Quasiessential	Genetic Information Processing	Translation	Ribosome	cytoplasm	658	
JCVISYN3A_0810	rplK	50S ribosomal protein L11	142.0	946	Quasiessential	Genetic Information Processing	Translation	Ribosome	cytoplasm	946	
JCVISYN3A_0813	galE	UDP-glucose 4-epimerase GalE	332.0	86	Essential	Metabolism	Biosynthesis	Lipid metabolism	cytoplasm	86	
JCVISYN3A_0814	glf	UDP-galactopyranose mutase	395.0	78	Essential	Metabolism	Biosynthesis	Lipid metabolism	cytoplasm	78	
